criterion,n_total,n_valid,parse_rate,qwk,linear_kappa,cohen_kappa,mae,rmse,bias,pearson,spearman,exact_match,adjacent_match,mae_normalized,rmse_normalized,over_max_rate
Supervised Learning,9,4,0.4444444444444444,0.0,0.0,0.0,0.375,0.4330127018922193,-0.375,,,0.25,1.0,0.14999999999999997,0.17320508075688767,0.0
Unsupervised Learning,9,6,0.6666666666666666,0.0,0.0,0.0,0.4166666666666667,0.45643546458763845,-0.4166666666666667,,,0.16666666666666666,1.0,0.16666666666666663,0.18257418583505533,0.0
Reinforcement Learning,9,6,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.408248290463863,-0.3333333333333333,,,0.3333333333333333,1.0,0.1333333333333333,0.16329931618554516,0.0
"Example, Overall Clarity & Structure",9,6,0.6666666666666666,0.0,0.0,0.0,0.4166666666666667,0.5400617248673217,0.25,,,0.3333333333333333,1.0,0.16666666666666666,0.21602468994692872,0.0
Defintion of climate and weather,6,1,0.16666666666666666,,,,2.0,2.0,-2.0,,,0.0,0.0,,,0.0
Name of the climate variables,6,0,0.0,,,,,,,,,,,,,
Hemato-biochemical changes in rohu due to an increase of temparature,6,0,0.0,,,,,,,,,,,,,
Understanding of Concept,10,2,0.2,,,,2.0,2.0,-2.0,,,0.0,0.0,0.5,0.5,0.0
Step-by-Step Procedure,10,4,0.4,0.09999999999999998,0.09090909090909094,0.07692307692307687,1.25,1.5,-1.25,0.3333333333333333,0.3333333333333333,0.25,0.5,0.3125,0.375,0.0
Accuracy of Final Answer,10,0,0.0,,,,,,,,,,,,,
Clarity & Presentation,10,6,0.6,0.5,0.33333333333333337,0.19999999999999996,0.6666666666666666,0.816496580927726,-0.3333333333333333,0.7071067811865475,0.7071067811865475,0.3333333333333333,1.0,0.16666666666666666,0.2041241452319315,0.0
Concept of Histogram Equalization,4,3,0.75,-2.220446049250313e-16,-0.15384615384615397,-0.2857142857142858,0.8333333333333334,0.8660254037844386,0.16666666666666666,0.0,0.0,0.0,1.0,0.20833333333333334,0.21650635094610965,0.0
Necessity of Histogram Equalization,4,3,0.75,0.0,0.0,0.0,0.6666666666666666,0.816496580927726,0.6666666666666666,,,0.3333333333333333,1.0,0.16666666666666666,0.2041241452319315,0.0
Concept of Histogram Matching,4,2,0.5,0.0,0.0,0.0,0.5,0.7071067811865476,0.5,,,0.5,1.0,0.125,0.1767766952966369,0.0
Necessity of Histogram Matching,4,2,0.5,0.0,0.0,0.0,0.5,0.7071067811865476,0.5,,,0.5,1.0,0.125,0.1767766952966369,0.0
Understanding of schema and instance (2),6,2,0.3333333333333333,0.0,0.0,0.0,0.5,0.7071067811865476,0.5,,,0.5,1.0,0.25,0.3535533905932738,0.0
Explanation of different types of keys with examples (4),6,2,0.3333333333333333,,,,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0
Correct identification of keys in given relation (2),6,2,0.3333333333333333,0.0,0.0,0.0,0.5,0.7071067811865476,0.5,,,0.5,1.0,0.25,0.3535533905932738,0.0
Clear and organized writing (2),6,2,0.3333333333333333,0.0,0.0,0.0,0.5,0.7071067811865476,0.5,,,0.5,1.0,0.25,0.3535533905932738,0.0
Definition of Method Overloading,5,3,0.6,0.4878048780487805,0.2758620689655171,0.0,1.1666666666666667,1.3228756555322954,1.1666666666666667,0.9449111825230683,0.8660254037844387,0.0,0.6666666666666666,0.2916666666666667,0.33071891388307384,0.0
Definition of Method Overriding,5,3,0.6,0.3571428571428571,0.11764705882352933,0.0,1.6666666666666667,1.7320508075688772,1.6666666666666667,1.0,1.0,0.0,0.3333333333333333,0.4166666666666667,0.4330127018922193,0.0
Comparision,5,4,0.8,-0.6346153846153846,-0.3076923076923077,0.0,2.125,2.3048861143232218,-0.375,-0.968495996958186,-0.8164965809277261,0.0,0.25,0.53125,0.5762215285808054,0.0
Example / Application,13,7,0.5384615384615384,-0.1653272101033294,-0.09045226130653261,0.0,2.2142857142857144,2.275647474581999,0.5,-0.35355339059327384,-0.35355339059327373,0.0,0.0,0.5535714285714286,0.5689118686454997,0.0
Definition of Data Mining,8,4,0.5,0.0,0.0,0.0,1.25,1.3228756555322954,-0.25,,,0.0,0.75,0.3125,0.33071891388307384,0.0
KDD Process Steps,8,4,0.5,0.32432432432432434,0.18181818181818177,0.0,1.125,1.25,-0.625,0.4714045207910316,0.5443310539518174,0.0,0.75,0.28125,0.3125,0.0
Importance of Data Mining Marks=(4),8,3,0.375,0.0,0.0,0.0,1.0,1.2909944487358056,-0.3333333333333333,,,0.3333333333333333,0.6666666666666666,0.25,0.3227486121839514,0.0
Understanding of normalization and related problems(3),10,5,0.5,-0.33333333333333326,-0.17647058823529416,0.04761904761904767,0.8,0.8944271909999159,-0.4,-0.7905694150420947,-0.7905694150420948,0.2,1.0,0.2666666666666667,0.29814239699997197,0.0
Explanation of normal forms(3),10,2,0.2,,,,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0
Use of example(2),10,6,0.6,0.0,0.0,0.0,0.4166666666666667,0.8416254115301732,0.4166666666666667,,,0.6666666666666666,0.8333333333333334,0.20833333333333334,0.4208127057650866,0.0
Clear and organized writing(2),10,2,0.2,,,,0.5,0.5,0.5,,,0.0,1.0,0.25,0.25,0.0
Definition of Quantization,3,3,1.0,0.0,0.0,0.0,0.3333333333333333,0.408248290463863,-0.3333333333333333,,,0.3333333333333333,1.0,0.1333333333333333,0.16329931618554516,0.0
Purpose of Quantization,3,3,1.0,,,,0.5,0.5,-0.5,,,0.0,1.0,0.19999999999999996,0.19999999999999996,0.0
Max-Lloyd Algorithm Explanation,3,2,0.6666666666666666,0.0,0.0,0.0,0.5,0.5,0.0,,,0.0,1.0,0.2,0.2,0.0
Boundary & Centroid Conditions,3,3,1.0,0.0,0.0,0.0,0.5,0.5,0.16666666666666666,,,0.0,1.0,0.20000000000000004,0.20000000000000004,0.0
Importance of R² and Variability (eg. 0.85 or 85%) explained by the model,2,1,0.5,,,,0.0,0.0,0.0,,,1.0,1.0,,,0.0
"Mathematical Expression & Interpretation and Evaluate model performance by               R² ≈ 1 → very good fit 
R² ≈ 0 → poor fit 
R²<0 → model is worse than just using the mean",2,1,0.5,,,,2.0,2.0,2.0,,,0.0,0.0,,,0.0
Critical Insight (Limitations / Adjusted R²) and higher R² strengthens confidence,2,1,0.5,,,,1.5,1.5,1.5,,,0.0,0.0,,,0.0
Enables comparison between models and overfitting issues,2,1,0.5,,,,1.5,1.5,1.5,,,0.0,0.0,,,0.0
Identification of Layers (2 Marks),9,9,1.0,,,,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0
Explanation of Layers with diagram (4 Marks),9,6,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.816496580927726,-0.3333333333333333,,,0.3333333333333333,1.0,0.16666666666666666,0.2041241452319315,0.0
Technical Accuracy (2 Marks),9,8,0.8888888888888888,0.0,0.0,0.0,1.0,1.224744871391589,1.0,,,0.25,0.75,0.5,0.6123724356957945,0.0
Examples/Protocols(1 Mark),9,9,1.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896257,0.3333333333333333,,,0.6666666666666666,1.0,0.3333333333333333,0.5773502691896257,0.0
Clarity & Organization (1 Mark),9,7,0.7777777777777778,0.0,0.0,0.0,0.5714285714285714,0.7559289460184544,0.5714285714285714,,,0.42857142857142855,1.0,0.5714285714285714,0.7559289460184544,0.0
