criterion,n_total,n_valid,parse_rate,qwk,linear_kappa,cohen_kappa,mae,rmse,bias,pearson,spearman,exact_match,adjacent_match,mae_normalized,rmse_normalized,over_max_rate
Supervised Learning,9,6,0.6666666666666666,0.07692307692307676,-2.220446049250313e-16,-0.0714285714285714,0.6666666666666666,0.816496580927726,-0.6666666666666666,0.24999999999999994,0.25000000000000006,0.16666666666666666,0.8333333333333334,0.26666666666666666,0.3265986323710904,0.0
Unsupervised Learning,9,6,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.408248290463863,-0.3333333333333333,,,0.3333333333333333,1.0,0.1333333333333333,0.16329931618554516,0.0
Reinforcement Learning,9,5,0.5555555555555556,-0.4285714285714286,-0.4285714285714286,-0.4285714285714286,0.4,0.4472135954999579,-0.2,-0.6123724356957945,-0.6123724356957945,0.2,1.0,0.15999999999999998,0.17888543819998315,0.0
"Example, Overall Clarity & Structure",9,3,0.3333333333333333,0.3999999999999999,0.18181818181818177,0.0,0.5,0.6454972243679028,0.5,0.9449111825230678,0.8660254037844387,0.3333333333333333,1.0,0.19999999999999998,0.2581988897471611,0.0
Defintion of climate and weather,6,5,0.8333333333333334,0.0,0.0,0.0,0.2,0.4472135954999579,-0.2,,,0.8,1.0,0.1,0.22360679774997896,0.0
Name of the climate variables,6,2,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,0.0,,,0.0,1.0,0.5,0.5,0.0
Hemato-biochemical changes in rohu due to an increase of temparature,6,5,0.8333333333333334,-0.1797752808988764,-0.09756097560975618,0.0,0.45,0.51234753829798,0.15,-0.24999999999999994,-0.25,0.0,1.0,0.225,0.25617376914899,0.0
Understanding of Concept,10,3,0.3,,,,2.0,2.0,-2.0,,,0.0,0.0,0.5,0.5,0.0
Step-by-Step Procedure,10,5,0.5,-0.0185185185185186,0.0,0.0,2.0,2.0976176963403033,-2.0,-0.24999999999999997,-0.25,0.0,0.2,0.5,0.5244044240850758,0.0
Accuracy of Final Answer,10,0,0.0,,,,,,,,,,,,,
Clarity & Presentation,10,6,0.6,0.037735849056603765,1.1102230246251565e-16,0.032258064516129115,1.5,1.6832508230603465,-1.5,0.19999999999999998,0.28284271247461906,0.16666666666666666,0.3333333333333333,0.375,0.4208127057650866,0.0
Concept of Histogram Equalization,4,3,0.75,-2.220446049250313e-16,-0.15384615384615397,-0.2857142857142858,0.8333333333333334,0.8660254037844386,0.16666666666666666,0.0,0.0,0.0,1.0,0.20833333333333334,0.21650635094610965,0.0
Necessity of Histogram Equalization,4,4,1.0,0.0,0.0,0.0,0.5,0.7071067811865476,0.5,,,0.5,1.0,0.125,0.1767766952966369,0.0
Concept of Histogram Matching,4,3,0.75,0.0,0.0,0.0,0.6666666666666666,0.816496580927726,0.0,,,0.3333333333333333,1.0,0.16666666666666666,0.2041241452319315,0.0
Necessity of Histogram Matching,4,4,1.0,0.0,0.0,0.0,0.5,0.7071067811865476,0.5,,,0.5,1.0,0.125,0.1767766952966369,0.0
Understanding of schema and instance (2),6,3,0.5,,,,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0
Explanation of different types of keys with examples (4),6,3,0.5,0.0,0.0,0.0,0.5,0.6454972243679028,-0.16666666666666666,,,0.3333333333333333,1.0,0.125,0.1613743060919757,0.0
Correct identification of keys in given relation (2),6,5,0.8333333333333334,-0.5,-0.25,-0.0714285714285714,0.8,1.0954451150103321,0.4,-0.6454972243679027,-0.6454972243679028,0.4,0.8,0.4,0.5477225575051661,0.0
Clear and organized writing (2),6,1,0.16666666666666666,,,,0.0,0.0,0.0,,,1.0,1.0,,,0.0
Definition of Method Overloading,5,2,0.4,0.0,0.0,0.0,1.5,1.5811388300841898,0.5,,,0.0,0.5,0.375,0.39528470752104744,0.0
Definition of Method Overriding,5,2,0.4,,,,2.0,2.0,2.0,,,0.0,0.0,0.5,0.5,0.0
Comparision,5,3,0.6,0.0,0.0,0.0,1.6666666666666667,1.7320508075688772,-1.6666666666666667,,,0.0,0.3333333333333333,0.4166666666666667,0.4330127018922193,0.0
Example / Application,13,7,0.5384615384615384,0.05673758865248235,0.02970297029702962,0.0,2.0,2.017778127403648,1.0,0.3,0.30000000000000004,0.0,0.0,0.5,0.504444531850912,0.0
