criterion,n_total,n_valid,parse_rate,qwk,linear_kappa,cohen_kappa,mae,rmse,bias,pearson,spearman,exact_match,adjacent_match,mae_normalized,rmse_normalized,over_max_rate
Concept of Histogram Equalization,4,4,1.0,-0.16666666666666674,-0.16666666666666674,-0.19999999999999996,0.875,1.14564392373896,0.625,-0.5222329678670934,-0.5443310539518174,0.25,0.75,0.21875,0.28641098093474,0.0
Necessity of Histogram Equalization,4,4,1.0,0.8571428571428572,0.75,0.6,0.125,0.25,-0.125,0.9045340337332909,0.9428090415820634,0.75,1.0,0.03125,0.0625,0.0
Concept of Histogram Matching,4,4,1.0,0.4285714285714286,0.33333333333333337,0.2727272727272727,0.5,0.7071067811865476,0.0,0.5222329678670934,0.5443310539518174,0.5,1.0,0.125,0.1767766952966369,0.0
Necessity of Histogram Matching,4,4,1.0,0.8571428571428572,0.75,0.6,0.125,0.25,-0.125,0.9045340337332909,0.9428090415820634,0.75,1.0,0.03125,0.0625,0.0
Defintion of climate and weather,6,6,1.0,,,,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0
Name of the climate variables,6,6,1.0,0.2139037433155081,0.1923076923076924,0.4545454545454546,0.2916666666666667,0.7144345083117603,0.2916666666666667,0.9999999999999996,1.0,0.8333333333333334,0.8333333333333334,0.14583333333333334,0.3572172541558801,0.0
Hemato-biochemical changes in rohu due to an increase of temparature,6,6,1.0,0.0,0.0,0.0,0.08333333333333333,0.2041241452319315,0.08333333333333333,,,0.8333333333333334,1.0,0.041666666666666664,0.10206207261596575,0.0
Importance of R² and Variability (eg. 0.85 or 85%) explained by the model,2,2,1.0,,,,1.0,1.0,-1.0,,,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0
"Mathematical Expression & Interpretation and Evaluate model performance by               R² ≈ 1 → very good fit 
R² ≈ 0 → poor fit 
R²<0 → model is worse than just using the mean",2,2,1.0,0.0,0.0,0.0,0.25,0.3535533905932738,0.25,,,0.5,1.0,0.08333333333333333,0.11785113019775792,0.0
Critical Insight (Limitations / Adjusted R²) and higher R² strengthens confidence,2,2,1.0,0.6666666666666667,0.5,0.33333333333333337,0.125,0.1767766952966369,0.125,1.0,0.9999999999999999,0.5,1.0,0.041666666666666664,0.05892556509887896,0.0
Enables comparison between models and overfitting issues,2,2,1.0,,,,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0
Understanding of normalization and related problems(3),10,10,1.0,0.6732673267326732,0.43609022556390975,0.13043478260869557,0.375,0.45414755311462374,-0.125,0.7235680511449364,0.7149844964673565,0.2,1.0,0.125,0.15138251770487457,0.0
Explanation of normal forms(3),10,10,1.0,0.8621553884711779,0.6596858638743455,0.23076923076923084,0.325,0.45414755311462374,-0.325,0.9347028551069878,0.938115725992925,0.4,1.0,0.10833333333333332,0.1513825177048746,0.0
Use of example(2),10,10,1.0,0.8920863309352518,0.6835443037974683,0.2682926829268292,0.25,0.33541019662496846,-0.15,0.934791400522852,0.8881824274660759,0.4,1.0,0.125,0.16770509831248423,0.0
Clear and organized writing(2),10,10,1.0,0.3728362183754993,0.2816901408450704,0.22077922077922074,0.2549999952316284,0.34314719109267305,-0.1549999952316284,0.5667505295285808,0.6527162480791983,0.4,1.0,0.1274999976158142,0.17157359554633653,0.0
Understanding of schema and instance (2),6,6,1.0,0.18181818181818177,0.14285714285714268,0.09999999999999987,0.3333333333333333,0.5,-0.16666666666666666,0.24999999999999994,0.25000000000000006,0.5,1.0,0.16666666666666666,0.25,0.0
Explanation of different types of keys with examples (4),6,6,1.0,0.37209302325581406,0.21052631578947367,0.09999999999999987,0.4166666666666667,0.6123724356957945,-0.4166666666666667,0.5252257314388904,0.6123724356957945,0.5,1.0,0.10416666666666667,0.15309310892394862,0.0
Correct identification of keys in given relation (2),6,6,1.0,0.6865671641791045,0.4642857142857143,0.19999999999999996,0.4166666666666667,0.5400617248673217,0.4166666666666667,0.8711871219403559,0.8333333333333335,0.3333333333333333,1.0,0.20833333333333334,0.27003086243366087,0.0
Clear and organized writing (2),6,6,1.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896257,-0.3333333333333333,,,0.6666666666666666,1.0,0.16666666666666666,0.28867513459481287,0.0
Identification of Layers (2 Marks),9,9,1.0,,,,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0
Explanation of Layers with diagram (4 Marks),9,9,1.0,0.6274509803921569,0.4635761589403973,0.2622950819672132,0.5,0.7264831572567789,-0.5,0.7698003589195008,0.743630284721125,0.4444444444444444,0.8888888888888888,0.125,0.18162078931419473,0.0
Technical Accuracy (2 Marks),9,9,1.0,0.4338394793926248,0.3612903225806452,0.2622950819672132,0.6111111111111112,0.8975274678557507,-0.3888888888888889,0.4906679199867872,0.47569599145533725,0.4444444444444444,0.8888888888888888,0.3055555555555556,0.44876373392787533,0.0
Examples/Protocols(1 Mark),9,9,1.0,0.4255319148936171,0.4,0.3571428571428571,0.2777777777777778,0.5,-0.05555555555555555,0.4287464628562721,0.4082482904638631,0.6666666666666666,1.0,0.2777777777777778,0.5,0.0
Clarity & Organization (1 Mark),9,9,1.0,0.3076923076923077,0.3076923076923076,0.3076923076923076,0.3333333333333333,0.5773502691896257,0.1111111111111111,0.3162277660168379,0.31622776601683794,0.6666666666666666,1.0,0.3333333333333333,0.5773502691896257,0.0
Definition of Quantization,3,3,1.0,0.0,0.0,0.0,0.16666666666666666,0.28867513459481287,0.16666666666666666,,,0.6666666666666666,1.0,0.06666666666666665,0.11547005383792512,0.0
Purpose of Quantization,3,3,1.0,,,,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0
Max-Lloyd Algorithm Explanation,3,3,1.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896257,0.3333333333333333,,,0.6666666666666666,1.0,0.13333333333333333,0.23094010767585033,0.0
Boundary & Centroid Conditions,3,3,1.0,0.0,0.0,0.0,0.6666666666666666,0.816496580927726,0.6666666666666666,,,0.3333333333333333,1.0,0.26666666666666666,0.32659863237109044,0.0
Importance of Data Mining Marks=(4),8,8,1.0,0.71875,0.5102040816326531,0.11111111111111116,0.75,1.0606601717798212,0.375,0.7554191132592915,0.608033510325768,0.25,0.875,0.1875,0.2651650429449553,0.0
Definition of Data Mining,8,8,1.0,0.717948717948718,0.5555555555555556,0.3191489361702128,0.5,0.82915619758885,-0.25,0.7537346628814316,0.6360650553039009,0.5,0.875,0.125,0.2072890493972125,0.0
Example / Application,13,13,1.0,0.7169833111970896,0.6885536823425022,0.6578947368421053,0.5192307692307693,1.346291201783626,-0.09615384615384616,0.719585361746777,0.7131373043214152,0.8461538461538461,0.8461538461538461,0.12980769230769232,0.3365728004459065,0.0
KDD Process Steps,8,8,1.0,0.9031339031339032,0.7565217391304347,0.5,0.4375,0.7288689868556626,0.1875,0.9089664121050052,0.8945302703857816,0.625,0.875,0.109375,0.18221724671391565,0.0
Understanding of Concept,10,10,1.0,0.11764705882352944,0.09999999999999998,0.07692307692307687,0.45,0.6123724356957945,0.35,0.21821789023599242,0.2182178902359924,0.4,1.0,0.1125,0.15309310892394862,0.0
Step-by-Step Procedure,10,10,1.0,0.2666666666666667,0.2222222222222222,0.16666666666666663,0.35,0.5244044240850758,-0.15,0.3042903097250923,0.24397501823713327,0.5,1.0,0.0875,0.13110110602126895,0.0
Accuracy of Final Answer,10,10,1.0,0.0,0.0,0.0,0.4,0.6324555320336759,0.0,,,0.6,1.0,0.1,0.15811388300841897,0.0
