criterion,n_total,n_valid,parse_rate,qwk,linear_kappa,cohen_kappa,mae,rmse,bias,pearson,spearman,exact_match,adjacent_match,mae_normalized,rmse_normalized,over_max_rate
Concept of Histogram Equalization,4,4,1.0,0.0,0.0,0.0,0.75,1.118033988749895,0.75,,,0.5,0.75,0.1875,0.2795084971874737,0.0
Necessity of Histogram Equalization,4,4,1.0,0.0,0.0,0.0,1.5,1.5811388300841898,1.5,,,0.0,0.5,0.375,0.39528470752104744,0.0
Concept of Histogram Matching,4,4,1.0,0.2777777777777778,0.16666666666666663,0.19999999999999996,0.625,0.9013878188659973,0.625,0.870388279778489,0.8164965809277261,0.5,0.75,0.15625,0.22534695471649932,0.0
Necessity of Histogram Matching,4,4,1.0,0.05714285714285716,0.0,0.0,1.375,1.4361406616345072,1.375,0.5773502691896256,0.5773502691896257,0.0,0.5,0.34375,0.3590351654086268,0.0
Defintion of climate and weather,6,6,1.0,0.0,0.0,0.0,0.5416666666666666,0.5496210815947049,-0.5416666666666666,,,0.0,1.0,0.2708333333333333,0.27481054079735245,0.0
Name of the climate variables,6,6,1.0,0.0,0.0,0.0,0.6666666666666666,0.7637626158259734,-0.16666666666666666,,,0.0,0.8333333333333334,0.3333333333333333,0.3818813079129867,0.0
Hemato-biochemical changes in rohu due to an increase of temparature,6,6,1.0,-0.125,-0.09090909090909083,-0.05882352941176472,0.3333333333333333,0.3535533905932738,-0.25,-0.316227766016838,-0.316227766016838,0.0,1.0,0.16666666666666666,0.1767766952966369,0.0
Importance of R² and Variability (eg. 0.85 or 85%) explained by the model,2,2,1.0,0.0,0.0,0.0,0.75,0.7905694150420949,-0.75,,,0.0,1.0,0.24999999999999997,0.2635231383473649,0.0
"Mathematical Expression & Interpretation and Evaluate model performance by               R² ≈ 1 → very good fit 
R² ≈ 0 → poor fit 
R²<0 → model is worse than just using the mean",2,2,1.0,,,,1.5,1.5,1.5,,,0.0,0.0,0.5,0.5,0.0
Critical Insight (Limitations / Adjusted R²) and higher R² strengthens confidence,2,2,1.0,0.11111111111111116,0.0,0.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,1.0,0.33333333333333337,0.33333333333333337,0.0
Enables comparison between models and overfitting issues,2,2,1.0,0.0,0.0,0.0,0.75,0.7905694150420949,0.75,,,0.0,1.0,0.25,0.26352313834736496,0.0
Understanding of normalization and related problems(3),10,10,1.0,0.19417475728155342,0.0625,-0.046511627906976605,0.9,1.0185774393731681,-0.9,0.7099522928088311,0.7095748751868992,0.1,0.6,0.3,0.33952581312438934,0.0
Explanation of normal forms(3),10,10,1.0,0.6713852376137512,0.4101123595505618,0.010989010989011172,0.525,0.6373774391990981,-0.475,0.8394873490604253,0.8915967995350681,0.1,0.9,0.175,0.21245914639969934,0.0
Use of example(2),10,10,1.0,0.3843843843843844,0.1823899371069182,0.021739130434782483,0.65,0.7158910531638176,-0.25,0.5280247682426917,0.687304199232634,0.1,0.9,0.325,0.3579455265819088,0.0
Clear and organized writing(2),10,10,1.0,-0.15304347826086961,0.050000000000000044,0.25,0.3799999952316284,0.575760366405298,0.3700000047683716,-0.4878060966671741,-0.46126560401444255,0.4,0.9,0.1899999976158142,0.287880183202649,0.0
Understanding of schema and instance (2),6,6,1.0,0.09302325581395343,0.05263157894736836,0.0,0.5,0.5204164998665332,0.25,0.25,0.25000000000000006,0.0,1.0,0.25,0.2602082499332666,0.0
Explanation of different types of keys with examples (4),6,6,1.0,0.34782608695652184,0.21052631578947378,0.11764705882352944,0.4166666666666667,0.45643546458763845,0.25,0.6324555320336759,0.632455532033676,0.16666666666666666,1.0,0.10416666666666667,0.11410886614690961,0.0
Correct identification of keys in given relation (2),6,6,1.0,0.3168316831683168,0.15999999999999992,0.0,0.5833333333333334,0.6922186552431729,0.4166666666666667,0.6859943405700352,0.6708203932499369,0.0,0.8333333333333334,0.2916666666666667,0.34610932762158647,0.0
Clear and organized writing (2),6,6,1.0,-0.10526315789473695,-0.05882352941176472,0.0,0.5,0.5400617248673217,0.08333333333333333,-0.15811388300841897,-0.11180339887498951,0.0,1.0,0.25,0.27003086243366087,0.0
Identification of Layers (2 Marks),9,9,1.0,,,,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0
Explanation of Layers with diagram (4 Marks),9,9,1.0,0.5161290322580645,0.31932773109243706,0.11267605633802824,0.5,0.6454972243679028,0.16666666666666666,0.6666666666666665,0.7005166394541487,0.2222222222222222,0.8888888888888888,0.125,0.1613743060919757,0.0
Technical Accuracy (2 Marks),9,9,1.0,0.047477744807121525,0.0,0.0,0.75,0.8620067027323833,0.4722222222222222,0.21320071635561047,0.19518001458970663,0.0,0.7777777777777778,0.375,0.43100335136619167,0.0
Examples/Protocols(1 Mark),9,9,1.0,0.0,0.0,0.0,0.5,0.5,-0.16666666666666666,,,0.0,1.0,0.5,0.5,0.0
Clarity & Organization (1 Mark),9,9,1.0,0.055944055944055826,0.03389830508474556,0.0,0.5277777777777778,0.5590169943749475,0.3055555555555556,0.15811388300841897,0.15811388300841897,0.0,1.0,0.5277777777777778,0.5590169943749475,0.0
Definition of Quantization,3,3,1.0,0.0,0.0,0.0,0.25,0.25,-0.08333333333333333,,,0.0,1.0,0.09999999999999998,0.09999999999999998,0.0
Purpose of Quantization,3,3,1.0,0.0,0.0,0.0,0.3333333333333333,0.3535533905932738,-0.3333333333333333,,,0.0,1.0,0.1333333333333333,0.14142135623730948,0.0
Max-Lloyd Algorithm Explanation,3,3,1.0,0.0,0.0,0.0,0.5,0.5,-0.16666666666666666,,,0.0,1.0,0.19999999999999998,0.2,0.0
Boundary & Centroid Conditions,3,3,1.0,-0.23529411764705888,-0.125,0.0,0.5,0.5400617248673217,0.0,-0.49999999999999994,-0.5000000000000001,0.0,1.0,0.20000000000000004,0.21602468994692872,0.0
