criterion,n_total,n_valid,parse_rate,qwk,linear_kappa,cohen_kappa,mae,rmse,bias,pearson,spearman,exact_match,adjacent_match,mae_normalized,rmse_normalized,over_max_rate
Supervised Learning,9,9,1.0,0.0,0.0,0.0,0.3333333333333333,0.408248290463863,-0.3333333333333333,,,0.3333333333333333,1.0,0.1333333333333333,0.16329931618554516,0.0
Unsupervised Learning,9,9,1.0,0.0,0.0,0.0,0.3333333333333333,0.408248290463863,-0.3333333333333333,,,0.3333333333333333,1.0,0.1333333333333333,0.16329931618554516,0.0
Reinforcement Learning,9,9,1.0,0.8465909090909091,0.5344827586206895,0.0847457627118644,0.3333333333333333,0.408248290463863,-0.3333333333333333,0.9605110355785013,0.7144345083117604,0.3333333333333333,1.0,0.1333333333333333,0.1632993161855452,0.0
"Example, Overall Clarity & Structure",9,9,1.0,0.22413793103448265,0.09999999999999998,-0.016129032258064502,0.4444444444444444,0.5270462766947299,0.2222222222222222,0.47918635750341576,0.4938784559013885,0.2222222222222222,1.0,0.17777777777777778,0.21081851067789198,0.0
Defintion of climate and weather,6,6,1.0,0.0,0.0,0.0,1.1666666666666667,1.224744871391589,-1.1666666666666667,,,0.0,0.8333333333333334,0.5833333333333334,0.6123724356957945,0.0
Name of the climate variables,6,6,1.0,-0.07999999999999985,-0.04999999999999982,-0.028571428571428692,1.1666666666666667,1.224744871391589,-0.8333333333333334,-0.2,-0.20000000000000007,0.0,0.8333333333333334,0.5833333333333334,0.6123724356957945,0.0
Hemato-biochemical changes in rohu due to an increase of temparature,6,6,1.0,-0.03200000000000003,0.0,0.0,0.8333333333333334,0.9464847243000456,-0.8333333333333334,-0.20000000000000012,-0.20000000000000007,0.0,0.8333333333333334,0.4166666666666667,0.4732423621500228,0.0
Understanding of Concept,10,10,1.0,0.043165467625899234,0.0357142857142857,0.0,1.35,1.823458252881047,-1.15,0.10874991503916212,0.14231361339296403,0.2,0.7,0.3375,0.45586456322026175,0.0
Step-by-Step Procedure,10,10,1.0,0.17391304347826086,0.21052631578947367,0.32432432432432434,0.9,1.378404875209022,-0.9,0.3651483716701108,0.29814239699997197,0.5,0.7,0.225,0.3446012188022555,0.0
Accuracy of Final Answer,10,10,1.0,0.2666666666666667,0.1428571428571429,0.04761904761904767,1.2,1.4832396974191326,0.2,0.39528470752104733,0.3952847075210474,0.2,0.7,0.3,0.37080992435478316,0.0
