criterion,n_total,n_valid,parse_rate,qwk,linear_kappa,cohen_kappa,mae,rmse,bias,pearson,spearman,exact_match,adjacent_match,mae_normalized,rmse_normalized,over_max_rate
Supervised Learning,9,9,1.0,0.0,0.0,0.0,0.16666666666666666,0.28867513459481287,0.16666666666666666,,,0.6666666666666666,1.0,0.06666666666666665,0.11547005383792512,0.0
Unsupervised Learning,9,9,1.0,0.0,0.0,0.0,0.16666666666666666,0.28867513459481287,0.16666666666666666,,,0.6666666666666666,1.0,0.06666666666666665,0.11547005383792512,0.0
Reinforcement Learning,9,9,1.0,0.9319899244332494,0.7326732673267327,0.32500000000000007,0.16666666666666666,0.28867513459481287,0.16666666666666666,0.9540646527893837,0.6123724356957946,0.6666666666666666,1.0,0.06666666666666665,0.11547005383792512,0.0
"Example, Overall Clarity & Structure",9,9,1.0,0.368421052631579,0.16666666666666652,-0.050000000000000044,0.5555555555555556,0.6666666666666666,0.4444444444444444,0.5160468465421401,0.5173964776109785,0.2222222222222222,1.0,0.2222222222222222,0.2666666666666667,0.0
Defintion of climate and weather,6,6,1.0,,,,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0
Name of the climate variables,6,6,1.0,0.0,0.0,0.0,0.3333333333333333,0.816496580927726,0.3333333333333333,,,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.408248290463863,0.0
Hemato-biochemical changes in rohu due to an increase of temparature,6,6,1.0,0.0,0.0,0.0,0.08333333333333333,0.2041241452319315,0.08333333333333333,,,0.8333333333333334,1.0,0.041666666666666664,0.10206207261596575,0.0
Understanding of Concept,10,10,1.0,0.6,0.6,0.6,0.2,0.4472135954999579,0.2,0.6546536707079771,0.6546536707079771,0.8,1.0,0.05,0.11180339887498948,0.0
Step-by-Step Procedure,10,10,1.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.4,0.6324555320336759,0.4,0.4082482904638631,0.408248290463863,0.6,1.0,0.1,0.15811388300841897,0.0
Accuracy of Final Answer,10,10,1.0,0.0,0.0,0.0,0.4,0.6324555320336759,0.0,,,0.6,1.0,0.1,0.15811388300841897,0.0
Clarity & Presentation,10,10,1.0,0.34782608695652173,0.31818181818181823,0.30232558139534893,0.3,0.5477225575051661,-0.1,0.4444444444444445,0.46481112585226414,0.7,1.0,0.075,0.13693063937629152,0.0
Concept of Histogram Equalization,4,4,1.0,0.5555555555555556,0.33333333333333337,0.11111111111111116,0.5,0.7071067811865476,0.5,0.8703882797784892,0.8164965809277261,0.5,1.0,0.125,0.1767766952966369,0.0
Necessity of Histogram Equalization,4,4,1.0,0.0,0.0,0.0,0.5,0.7071067811865476,0.5,,,0.5,1.0,0.125,0.1767766952966369,0.0
Concept of Histogram Matching,4,4,1.0,0.5555555555555556,0.33333333333333337,0.11111111111111116,0.5,0.7071067811865476,0.5,0.8703882797784892,0.8164965809277261,0.5,1.0,0.125,0.1767766952966369,0.0
Necessity of Histogram Matching,4,4,1.0,0.5,0.5,0.5,0.25,0.5,0.25,0.5773502691896258,0.5773502691896257,0.75,1.0,0.0625,0.125,0.0
Understanding of schema and instance (2),6,6,1.0,0.2499999999999999,0.2499999999999999,0.25,0.3333333333333333,0.5773502691896257,0.0,0.24999999999999997,0.25000000000000006,0.6666666666666666,1.0,0.16666666666666666,0.28867513459481287,0.0
Explanation of different types of keys with examples (4),6,6,1.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896257,-0.3333333333333333,,,0.6666666666666666,1.0,0.08333333333333333,0.14433756729740643,0.0
