criterion,n_total,n_valid,parse_rate,qwk,linear_kappa,cohen_kappa,mae,rmse,bias,pearson,spearman,exact_match,adjacent_match,mae_normalized,rmse_normalized,over_max_rate
Supervised Learning,9,9,1.0,-0.20000000000000018,-0.20000000000000018,-0.20000000000000018,0.2222222222222222,0.3333333333333333,0.1111111111111111,-0.25000000000000006,-0.25,0.5555555555555556,1.0,0.08888888888888886,0.1333333333333333,0.0
Unsupervised Learning,9,9,1.0,0.0,0.0,0.0,0.16666666666666666,0.28867513459481287,0.16666666666666666,,,0.6666666666666666,1.0,0.06666666666666665,0.11547005383792512,0.0
Reinforcement Learning,9,9,1.0,0.9538461538461539,0.8235294117647058,0.5714285714285714,0.1111111111111111,0.23570226039551584,0.1111111111111111,0.9640541410352403,0.7144345083117604,0.7777777777777778,1.0,0.04444444444444443,0.09428090415820631,0.0
"Example, Overall Clarity & Structure",9,9,1.0,0.10526315789473673,-0.06451612903225801,-0.20000000000000018,0.6111111111111112,0.6871842709362768,0.2777777777777778,0.1276884796138123,0.13578136164839208,0.1111111111111111,1.0,0.24444444444444446,0.27487370837451075,0.0
Defintion of climate and weather,6,6,1.0,,,,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0
Name of the climate variables,6,6,1.0,0.17582417582417575,0.1428571428571428,0.2500000000000001,0.3333333333333333,0.7216878364870323,0.25,0.6324555320336759,0.632455532033676,0.6666666666666666,0.8333333333333334,0.16666666666666666,0.36084391824351614,0.0
Hemato-biochemical changes in rohu due to an increase of temparature,6,6,1.0,0.0,0.0,0.0,0.08333333333333333,0.2041241452319315,0.08333333333333333,,,0.8333333333333334,1.0,0.041666666666666664,0.10206207261596575,0.0
Understanding of Concept,10,10,1.0,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.4,0.6324555320336759,0.4,0.33333333333333337,0.3333333333333333,0.6,1.0,0.1,0.15811388300841897,0.0
Step-by-Step Procedure,10,10,1.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.3,0.5477225575051661,-0.3,0.40824829046386313,0.40824829046386296,0.7,1.0,0.075,0.13693063937629152,0.0
Accuracy of Final Answer,10,10,1.0,0.0,0.0,0.0,0.4,0.6324555320336759,0.0,,,0.6,1.0,0.1,0.15811388300841897,0.0
Clarity & Presentation,10,10,1.0,0.0,0.0,0.0,0.4,0.6324555320336759,-0.2,,,0.6,1.0,0.1,0.15811388300841897,0.0
Concept of Histogram Equalization,4,4,1.0,0.0,0.0,0.0,0.75,1.118033988749895,0.75,,,0.5,0.75,0.1875,0.2795084971874737,0.0
Necessity of Histogram Equalization,4,4,1.0,0.5,0.5,0.5,0.25,0.5,-0.25,0.5773502691896256,0.5773502691896257,0.75,1.0,0.0625,0.125,0.0
Concept of Histogram Matching,4,4,1.0,0.4285714285714286,0.33333333333333337,0.2727272727272727,0.5,0.7071067811865476,0.0,0.5222329678670934,0.5443310539518174,0.5,1.0,0.125,0.1767766952966369,0.0
Necessity of Histogram Matching,4,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Understanding of schema and instance (2),6,6,1.0,-0.2857142857142856,-0.2857142857142856,-0.2857142857142856,0.5,0.7071067811865476,-0.16666666666666666,-0.31622776601683794,-0.316227766016838,0.5,1.0,0.25,0.3535533905932738,0.0
Explanation of different types of keys with examples (4),6,6,1.0,0.18181818181818177,0.0,-0.125,0.5,0.7071067811865476,-0.5,0.3162277660168378,0.316227766016838,0.5,1.0,0.125,0.1767766952966369,0.0
Correct identification of keys in given relation (2),6,6,1.0,0.7142857142857143,0.6,0.5,0.3333333333333333,0.5773502691896257,0.3333333333333333,0.7938841860374446,0.7302967433402215,0.6666666666666666,1.0,0.16666666666666666,0.28867513459481287,0.0
Clear and organized writing (2),6,6,1.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896257,-0.3333333333333333,,,0.6666666666666666,1.0,0.16666666666666666,0.28867513459481287,0.0
Definition of Method Overloading,5,5,1.0,0.0,0.0,0.0,1.6,2.0976176963403033,1.6,,,0.4,0.4,0.4,0.5244044240850758,0.0
Definition of Method Overriding,5,5,1.0,0.19753086419753085,0.08602150537634412,0.0,1.7,1.8027756377319946,1.7,1.0,1.0,0.0,0.2,0.425,0.45069390943299864,0.0
Comparision,5,5,1.0,0.0,0.0,-0.11111111111111094,2.6,3.1304951684997055,-2.2,2.7755575615628914e-17,-0.3952847075210474,0.2,0.4,0.65,0.7826237921249264,0.0
