criterion,n_total,n_valid,parse_rate,qwk,linear_kappa,cohen_kappa,mae,rmse,bias,pearson,spearman,exact_match,adjacent_match,mae_normalized,rmse_normalized,over_max_rate
Supervised Learning,9,9,1.0,0.0,0.0,0.0,0.3333333333333333,0.408248290463863,-0.3333333333333333,,,0.3333333333333333,1.0,0.1333333333333333,0.16329931618554516,0.0
Unsupervised Learning,9,9,1.0,0.0,0.0,0.0,0.3333333333333333,0.408248290463863,-0.3333333333333333,,,0.3333333333333333,1.0,0.1333333333333333,0.16329931618554516,0.0
Reinforcement Learning,9,9,1.0,0.6462882096069869,0.33684210526315794,0.05263157894736836,0.3888888888888889,0.5,-0.16666666666666666,0.9540646527893839,0.6123724356957946,0.3333333333333333,1.0,0.15555555555555553,0.19999999999999998,0.0
"Example, Overall Clarity & Structure",9,9,1.0,0.22413793103448265,0.09999999999999998,-0.016129032258064502,0.4444444444444444,0.5270462766947299,0.2222222222222222,0.47918635750341576,0.4938784559013885,0.2222222222222222,1.0,0.17777777777777778,0.21081851067789198,0.0
Defintion of climate and weather,6,6,1.0,0.0,0.0,0.0,0.5833333333333334,0.6123724356957945,-0.5833333333333334,,,0.0,1.0,0.2916666666666667,0.30618621784789724,0.0
Name of the climate variables,6,6,1.0,0.0,0.0,0.0,0.6666666666666666,0.7637626158259734,-0.16666666666666666,,,0.0,0.8333333333333334,0.3333333333333333,0.3818813079129867,0.0
Hemato-biochemical changes in rohu due to an increase of temparature,6,6,1.0,-0.15384615384615374,-0.125,-0.09090909090909083,0.375,0.39528470752104744,-0.2916666666666667,-0.44721359549995815,-0.447213595499958,0.0,1.0,0.1875,0.19764235376052372,0.0
Understanding of Concept,10,10,1.0,0.18181818181818177,0.125,0.07692307692307687,0.7,0.9486832980505138,-0.7,0.33333333333333337,0.3187276291558383,0.4,0.9,0.175,0.23717082451262844,0.0
Step-by-Step Procedure,10,10,1.0,0.1747572815533981,0.0,-0.1428571428571428,1.1,1.3038404810405297,-1.1,0.47043753614038514,0.4629100498862757,0.2,0.7,0.275,0.32596012026013244,0.0
Accuracy of Final Answer,10,10,1.0,0.2857142857142857,0.19999999999999996,0.125,0.8,1.0,0.8,0.5270462766947299,0.5270462766947299,0.3,0.9,0.2,0.25,0.0
