criterion,n_total,n_valid,parse_rate,qwk,linear_kappa,cohen_kappa,mae,rmse,bias,pearson,spearman,exact_match,adjacent_match,mae_normalized,rmse_normalized,over_max_rate
Supervised Learning,9,9,1.0,-0.08000000000000007,-2.220446049250313e-16,0.05263157894736836,0.3888888888888889,0.5,-0.3888888888888889,-0.2500000000000001,-0.25,0.3333333333333333,1.0,0.15555555555555553,0.19999999999999998,0.0
Unsupervised Learning,9,9,1.0,0.0,0.0,0.0,0.3333333333333333,0.408248290463863,-0.3333333333333333,,,0.3333333333333333,1.0,0.1333333333333333,0.16329931618554516,0.0
Reinforcement Learning,9,9,1.0,0.6961038961038961,0.4087591240875913,0.07352941176470584,0.5,0.6009252125773316,-0.5,0.9073960389672098,0.530722777603022,0.2222222222222222,1.0,0.19999999999999998,0.24037008503093263,0.0
"Example, Overall Clarity & Structure",9,9,1.0,-0.03539823008849541,-0.051948051948051965,-0.06779661016949157,0.5,0.6009252125773316,0.05555555555555555,-0.046625240412015684,-0.044622308798154715,0.2222222222222222,1.0,0.20000000000000004,0.24037008503093266,0.0
Defintion of climate and weather,6,6,1.0,0.0,0.0,0.0,0.375,0.39528470752104744,-0.375,,,0.0,1.0,0.1875,0.19764235376052372,0.0
Name of the climate variables,6,6,1.0,0.0,0.0,0.0,0.6666666666666666,0.7637626158259734,-0.16666666666666666,,,0.0,0.8333333333333334,0.3333333333333333,0.3818813079129867,0.0
Hemato-biochemical changes in rohu due to an increase of temparature,6,6,1.0,0.0,0.0,0.0,0.25,0.25,-0.16666666666666666,,,0.0,1.0,0.125,0.125,0.0
Understanding of Concept,10,10,1.0,0.0,0.0,0.0,0.5,0.7071067811865476,-0.5,,,0.5,1.0,0.125,0.1767766952966369,0.0
Step-by-Step Procedure,10,10,1.0,0.0,0.0,0.0,0.4,0.6324555320336759,-0.4,,,0.6,1.0,0.1,0.15811388300841897,0.0
Accuracy of Final Answer,10,10,1.0,0.0,0.0,0.0,0.4,0.6324555320336759,0.0,,,0.6,1.0,0.1,0.15811388300841897,0.0
Clarity & Presentation,10,10,1.0,0.2857142857142857,0.16666666666666663,0.03846153846153855,0.4,0.5916079783099616,-0.3,0.5833333333333334,0.547813112611597,0.5,1.0,0.1,0.1479019945774904,0.0
Concept of Histogram Equalization,4,4,1.0,0.0714285714285714,0.0,0.0,1.0,1.2747548783981961,1.0,0.30151134457776363,0.23570226039551587,0.25,0.5,0.25,0.31868871959954903,0.0
Necessity of Histogram Equalization,4,4,1.0,0.032786885245901676,0.0,0.0,1.875,1.920286436967152,1.875,0.5773502691896258,0.5773502691896257,0.0,0.0,0.46875,0.480071609241788,0.0
Concept of Histogram Matching,4,4,1.0,-0.04166666666666674,0.0,0.19999999999999996,0.875,1.25,0.875,-0.1740776559556978,-0.2721655269759087,0.5,0.5,0.21875,0.3125,0.0
Necessity of Histogram Matching,4,4,1.0,0.032786885245901676,0.0,0.0,1.875,1.920286436967152,1.875,0.5773502691896258,0.5773502691896257,0.0,0.0,0.46875,0.480071609241788,0.0
Understanding of schema and instance (2),6,6,1.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896257,-0.3333333333333333,,,0.6666666666666666,1.0,0.16666666666666666,0.28867513459481287,0.0
Explanation of different types of keys with examples (4),6,6,1.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896257,-0.3333333333333333,,,0.6666666666666666,1.0,0.08333333333333333,0.14433756729740643,0.0
