criterion,n_total,n_valid,parse_rate,qwk,linear_kappa,cohen_kappa,mae,rmse,bias,pearson,spearman,exact_match,adjacent_match,mae_normalized,rmse_normalized,over_max_rate
Supervised Learning,9,9,1.0,0.0,0.0,0.0,0.16666666666666666,0.28867513459481287,0.16666666666666666,,,0.6666666666666666,1.0,0.06666666666666665,0.11547005383792512,0.0
Unsupervised Learning,9,9,1.0,0.3999999999999999,0.3999999999999999,0.3999999999999999,0.1111111111111111,0.23570226039551584,0.1111111111111111,0.5000000000000001,0.5,0.7777777777777778,1.0,0.04444444444444443,0.09428090415820631,0.0
Reinforcement Learning,9,9,1.0,0.9319899244332494,0.7326732673267327,0.32500000000000007,0.16666666666666666,0.28867513459481287,0.16666666666666666,0.9540646527893837,0.6123724356957946,0.6666666666666666,1.0,0.06666666666666665,0.11547005383792512,0.0
"Example, Overall Clarity & Structure",9,9,1.0,0.19402985074626855,0.09999999999999987,-0.016129032258064502,0.6666666666666666,0.816496580927726,0.6666666666666666,0.47918635750341576,0.4938784559013885,0.2222222222222222,0.8888888888888888,0.26666666666666666,0.3265986323710904,0.0
Defintion of climate and weather,6,6,1.0,0.0,0.0,0.0,0.041666666666666664,0.10206207261596575,-0.041666666666666664,,,0.8333333333333334,1.0,0.020833333333333332,0.05103103630798288,0.0
Name of the climate variables,6,6,1.0,0.0,0.0,0.0,0.5,0.75,0.08333333333333333,,,0.0,0.8333333333333334,0.25,0.375,0.0
Hemato-biochemical changes in rohu due to an increase of temparature,6,6,1.0,0.0,0.0,0.0,0.08333333333333333,0.2041241452319315,0.08333333333333333,,,0.8333333333333334,1.0,0.041666666666666664,0.10206207261596575,0.0
Understanding of Concept,10,10,1.0,0.0,0.0,0.0,0.5,0.7071067811865476,-0.5,,,0.5,1.0,0.125,0.1767766952966369,0.0
Step-by-Step Procedure,10,10,1.0,0.0,0.0,0.0,0.4,0.6324555320336759,-0.4,,,0.6,1.0,0.1,0.15811388300841897,0.0
Accuracy of Final Answer,10,10,1.0,0.0,0.0,0.0,0.4,0.6324555320336759,0.0,,,0.6,1.0,0.1,0.15811388300841897,0.0
Clarity & Presentation,10,10,1.0,0.0,0.0,0.0,0.4,0.6324555320336759,-0.2,,,0.6,1.0,0.1,0.15811388300841897,0.0
Concept of Histogram Equalization,4,4,1.0,0.25,0.0,-0.19999999999999996,0.75,0.8660254037844386,0.25,0.30151134457776363,0.23570226039551587,0.25,1.0,0.1875,0.21650635094610965,0.0
Necessity of Histogram Equalization,4,4,1.0,-0.25,0.0,0.19999999999999996,0.75,1.118033988749895,0.75,-0.5773502691896256,-0.5773502691896257,0.5,0.75,0.1875,0.2795084971874737,0.0
Concept of Histogram Matching,4,4,1.0,-0.1428571428571428,-0.33333333333333326,-0.4545454545454546,1.0,1.0,0.0,-0.1740776559556978,-0.2721655269759087,0.0,1.0,0.25,0.25,0.0
Necessity of Histogram Matching,4,4,1.0,-0.25,0.0,0.19999999999999996,0.75,1.118033988749895,0.75,-0.5773502691896256,-0.5773502691896257,0.5,0.75,0.1875,0.2795084971874737,0.0
Understanding of schema and instance (2),6,6,1.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896257,-0.3333333333333333,,,0.6666666666666666,1.0,0.16666666666666666,0.28867513459481287,0.0
Explanation of different types of keys with examples (4),6,6,1.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896257,-0.3333333333333333,,,0.6666666666666666,1.0,0.08333333333333333,0.14433756729740643,0.0
Correct identification of keys in given relation (2),6,6,1.0,0.0,0.0,0.0,0.5,0.7071067811865476,-0.16666666666666666,,,0.5,1.0,0.25,0.3535533905932738,0.0
Clear and organized writing (2),6,6,1.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896257,-0.3333333333333333,,,0.6666666666666666,1.0,0.16666666666666666,0.28867513459481287,0.0
Definition of Method Overloading,5,5,1.0,0.23529411764705888,0.2592592592592593,0.2857142857142857,1.6,2.280350850198276,1.6,0.38069349381344036,0.17677669529663687,0.4,0.6,0.4,0.570087712549569,0.0
