criterion,n_total,n_valid,parse_rate,qwk,linear_kappa,cohen_kappa,mae,rmse,bias,pearson,spearman,exact_match,adjacent_match,mae_normalized,rmse_normalized,over_max_rate
Supervised Learning,9,9,1.0,-0.20000000000000018,-0.20000000000000018,-0.20000000000000018,0.2222222222222222,0.3333333333333333,0.1111111111111111,-0.25000000000000006,-0.25,0.5555555555555556,1.0,0.08888888888888886,0.1333333333333333,0.0
Unsupervised Learning,9,9,1.0,0.0,0.0,0.0,0.2222222222222222,0.3333333333333333,0.0,4.163336342344337e-17,0.0,0.5555555555555556,1.0,0.08888888888888886,0.1333333333333333,0.0
Reinforcement Learning,9,9,1.0,0.9076923076923077,0.6470588235294118,0.1428571428571429,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.9174063600174062,0.3061862178478973,0.5555555555555556,1.0,0.08888888888888886,0.1333333333333333,0.0
"Example, Overall Clarity & Structure",9,9,1.0,0.09523809523809523,-0.020618556701031077,-0.06779661016949157,0.6111111111111112,0.7264831572567789,0.2777777777777778,0.11058146711617284,0.11759010854794964,0.2222222222222222,1.0,0.24444444444444446,0.2905932629027116,0.0
Defintion of climate and weather,6,6,1.0,,,,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0
Name of the climate variables,6,6,1.0,0.17582417582417575,0.1428571428571428,0.2500000000000001,0.3333333333333333,0.7216878364870323,0.25,0.6324555320336759,0.632455532033676,0.6666666666666666,0.8333333333333334,0.16666666666666666,0.36084391824351614,0.0
Hemato-biochemical changes in rohu due to an increase of temparature,6,6,1.0,0.0,0.0,0.0,0.08333333333333333,0.2041241452319315,0.08333333333333333,,,0.8333333333333334,1.0,0.041666666666666664,0.10206207261596575,0.0
Understanding of Concept,10,10,1.0,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.4,0.6324555320336759,0.4,0.33333333333333337,0.3333333333333333,0.6,1.0,0.1,0.15811388300841897,0.0
Step-by-Step Procedure,10,10,1.0,-0.08695652173913038,-0.08695652173913038,-0.0869565217391306,0.5,0.7071067811865476,-0.1,-0.08908708063747486,-0.0890870806374748,0.5,1.0,0.125,0.1767766952966369,0.0
Accuracy of Final Answer,10,10,1.0,0.0,0.0,0.0,0.4,0.6324555320336759,0.0,,,0.6,1.0,0.1,0.15811388300841897,0.0
Clarity & Presentation,10,10,1.0,0.0,0.0,0.0,0.4,0.6324555320336759,-0.2,,,0.6,1.0,0.1,0.15811388300841897,0.0
Concept of Histogram Equalization,4,4,1.0,0.0,0.0,0.0,0.75,1.118033988749895,0.75,,,0.5,0.75,0.1875,0.2795084971874737,0.0
Necessity of Histogram Equalization,4,4,1.0,0.5,0.5,0.5,0.25,0.5,0.25,0.5773502691896258,0.5773502691896257,0.75,1.0,0.0625,0.125,0.0
Concept of Histogram Matching,4,4,1.0,-0.25,0.0,0.19999999999999996,0.75,1.118033988749895,0.25,-0.30151134457776363,-0.23570226039551587,0.5,0.75,0.1875,0.2795084971874737,0.0
Necessity of Histogram Matching,4,4,1.0,0.5,0.5,0.5,0.25,0.5,0.25,0.5773502691896258,0.5773502691896257,0.75,1.0,0.0625,0.125,0.0
Understanding of schema and instance (2),6,6,1.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896257,-0.3333333333333333,,,0.6666666666666666,1.0,0.16666666666666666,0.28867513459481287,0.0
Explanation of different types of keys with examples (4),6,6,1.0,0.4999999999999999,0.3999999999999999,0.33333333333333326,0.3333333333333333,0.5773502691896257,-0.3333333333333333,0.6123724356957944,0.6123724356957945,0.6666666666666666,1.0,0.08333333333333333,0.14433756729740643,0.0
Correct identification of keys in given relation (2),6,6,1.0,0.3999999999999999,0.25,0.1428571428571429,0.5,0.7071067811865476,-0.16666666666666666,0.4200840252084029,0.36514837167011077,0.5,1.0,0.25,0.3535533905932738,0.0
Clear and organized writing (2),6,6,1.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896257,-0.3333333333333333,,,0.6666666666666666,1.0,0.16666666666666666,0.28867513459481287,0.0
Definition of Method Overloading,5,5,1.0,0.11214953271028039,0.10256410256410253,0.0,1.4,1.9493588689617927,1.0,0.14744195615489714,0.0,0.4,0.6,0.35,0.48733971724044817,0.0
Definition of Method Overriding,5,5,1.0,0.1649484536082474,0.12371134020618557,0.0,1.7,2.0124611797498106,1.7,0.4082482904638629,0.408248290463863,0.0,0.6,0.425,0.5031152949374527,0.0
Comparision,5,5,1.0,0.0,0.0,0.0,3.0,3.3763886032268267,-3.0,,,0.2,0.2,0.75,0.8440971508067067,0.0
