criterion,n_total,n_valid,parse_rate,qwk,linear_kappa,cohen_kappa,mae,rmse,bias,pearson,spearman,exact_match,adjacent_match,mae_normalized,rmse_normalized,over_max_rate
Supervised Learning,9,9,1.0,0.1428571428571429,0.1428571428571429,0.1428571428571429,0.2222222222222222,0.3333333333333333,-0.1111111111111111,0.158113883008419,0.15811388300841897,0.5555555555555556,1.0,0.08888888888888886,0.1333333333333333,0.0
Unsupervised Learning,9,9,1.0,0.25,0.25,0.2500000000000001,0.2222222222222222,0.3333333333333333,-0.2222222222222222,0.3779644730092272,0.3779644730092272,0.5555555555555556,1.0,0.08888888888888886,0.1333333333333333,0.0
Reinforcement Learning,9,9,1.0,0.896551724137931,0.6666666666666665,0.33333333333333337,0.2222222222222222,0.3333333333333333,-0.2222222222222222,0.9481224447363147,0.6123724356957946,0.5555555555555556,1.0,0.08888888888888886,0.1333333333333333,0.0
"Example, Overall Clarity & Structure",9,9,1.0,0.1333333333333333,0.04705882352941171,-0.016129032258064502,0.5,0.6009252125773316,0.2777777777777778,0.22116293423234568,0.2351802170958993,0.2222222222222222,1.0,0.2,0.24037008503093263,0.0
Defintion of climate and weather,6,6,1.0,,,,0.25,0.25,-0.25,,,0.0,1.0,0.125,0.125,0.0
Name of the climate variables,6,6,1.0,0.22857142857142865,0.10000000000000009,0.0,0.625,0.6846531968814576,-0.20833333333333334,0.9999999999999996,1.0,0.0,0.8333333333333334,0.3125,0.3423265984407288,0.0
Hemato-biochemical changes in rohu due to an increase of temparature,6,6,1.0,0.0,0.0,0.0,0.08333333333333333,0.2041241452319315,0.08333333333333333,,,0.8333333333333334,1.0,0.041666666666666664,0.10206207261596575,0.0
Understanding of Concept,10,10,1.0,0.0,0.0,0.0,0.5,0.7071067811865476,-0.5,,,0.5,1.0,0.125,0.1767766952966369,0.0
Step-by-Step Procedure,10,10,1.0,0.0,0.0,0.0,0.4,0.6324555320336759,-0.4,,,0.6,1.0,0.1,0.15811388300841897,0.0
Accuracy of Final Answer,10,10,1.0,0.0,0.04255319148936165,0.07894736842105265,0.9,1.140175425099138,0.9,0.0,0.0,0.3,0.8,0.225,0.2850438562747845,0.0
Clarity & Presentation,10,10,1.0,0.0,0.0,0.0,0.4,0.6324555320336759,-0.2,,,0.6,1.0,0.1,0.15811388300841897,0.0
Concept of Histogram Equalization,4,4,1.0,0.0,0.0,0.0,0.75,1.118033988749895,0.75,,,0.5,0.75,0.1875,0.2795084971874737,0.0
Necessity of Histogram Equalization,4,4,1.0,0.0,0.0,0.0,1.5,1.5811388300841898,1.5,,,0.0,0.5,0.375,0.39528470752104744,0.0
Concept of Histogram Matching,4,4,1.0,0.0,0.0,0.0,0.75,1.118033988749895,0.75,,,0.5,0.75,0.1875,0.2795084971874737,0.0
Necessity of Histogram Matching,4,4,1.0,0.0,0.0,0.0,1.5,1.5811388300841898,1.5,,,0.0,0.5,0.375,0.39528470752104744,0.0
Understanding of schema and instance (2),6,6,1.0,0.0,0.0,0.0,0.4166666666666667,0.5400617248673217,-0.08333333333333333,0.0,0.0,0.3333333333333333,1.0,0.20833333333333334,0.27003086243366087,0.0
Explanation of different types of keys with examples (4),6,6,1.0,0.0,0.0,0.0,0.6666666666666666,0.816496580927726,0.6666666666666666,,,0.3333333333333333,1.0,0.16666666666666666,0.2041241452319315,0.0
Correct identification of keys in given relation (2),6,6,1.0,-0.24390243902439046,-0.17391304347826075,-0.09090909090909083,0.75,0.8416254115301732,0.25,-0.5423261445466406,-0.5656854249492381,0.0,0.8333333333333334,0.375,0.4208127057650866,0.0
Clear and organized writing (2),6,6,1.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896257,-0.3333333333333333,,,0.6666666666666666,1.0,0.16666666666666666,0.28867513459481287,0.0
