criterion,n_total,n_valid,parse_rate,qwk,linear_kappa,cohen_kappa,mae,rmse,bias,pearson,spearman,exact_match,adjacent_match,mae_normalized,rmse_normalized,over_max_rate
Supervised Learning,9,9,1.0,0.0,0.0,0.0,0.3333333333333333,0.408248290463863,-0.3333333333333333,,,0.3333333333333333,1.0,0.1333333333333333,0.16329931618554516,0.0
Unsupervised Learning,9,9,1.0,0.0,0.0,0.0,0.3333333333333333,0.408248290463863,-0.3333333333333333,,,0.3333333333333333,1.0,0.1333333333333333,0.16329931618554516,0.0
Reinforcement Learning,9,9,1.0,0.0,0.0,0.0,0.5,0.7637626158259734,-0.05555555555555555,,,0.3333333333333333,0.8888888888888888,0.19999999999999998,0.30550504633038933,0.0
"Example, Overall Clarity & Structure",9,9,1.0,0.0,0.0,0.0,0.5,0.6009252125773316,0.2777777777777778,,,0.2222222222222222,1.0,0.2,0.24037008503093266,0.0
Defintion of climate and weather,6,6,1.0,0.0,0.0,0.0,0.8333333333333334,0.8660254037844386,-0.8333333333333334,,,0.0,1.0,0.4166666666666667,0.4330127018922193,0.0
Name of the climate variables,6,6,1.0,0.0,0.0,0.0,0.6666666666666666,0.7637626158259734,-0.16666666666666666,,,0.0,0.8333333333333334,0.3333333333333333,0.3818813079129867,0.0
Hemato-biochemical changes in rohu due to an increase of temparature,6,6,1.0,0.0,0.0,0.0,0.25,0.25,-0.16666666666666666,,,0.0,1.0,0.125,0.125,0.0
Understanding of Concept,10,10,1.0,0.0,0.0,0.0,0.5,0.7071067811865476,-0.5,,,0.5,1.0,0.125,0.1767766952966369,0.0
Step-by-Step Procedure,10,10,1.0,0.0,0.0,0.0,0.4,0.6324555320336759,-0.4,,,0.6,1.0,0.1,0.15811388300841897,0.0
Accuracy of Final Answer,10,10,1.0,-0.33333333333333326,-0.15384615384615374,-0.04166666666666674,0.6,0.8944271909999159,0.2,-0.3952847075210474,-0.3952847075210474,0.5,0.9,0.15,0.22360679774997896,0.0
