criterion,n_total,n_valid,parse_rate,qwk,linear_kappa,cohen_kappa,mae,rmse,bias,pearson,spearman,exact_match,adjacent_match,mae_normalized,rmse_normalized,over_max_rate
Supervised Learning,9,9,1.0,0.0,0.0,0.0,0.16666666666666666,0.28867513459481287,0.16666666666666666,,,0.6666666666666666,1.0,0.06666666666666665,0.11547005383792512,0.0
Unsupervised Learning,9,9,1.0,0.0,0.0,0.0,0.16666666666666666,0.28867513459481287,0.16666666666666666,,,0.6666666666666666,1.0,0.06666666666666665,0.11547005383792512,0.0
Reinforcement Learning,9,9,1.0,0.0,0.0,0.0,0.4444444444444444,0.8819171036881969,0.4444444444444444,,,0.5555555555555556,0.8888888888888888,0.17777777777777776,0.35276684147527876,0.0
"Example, Overall Clarity & Structure",9,9,1.0,-0.3764705882352939,-0.3695652173913042,-0.3728813559322035,0.7777777777777778,0.8498365855987975,0.2222222222222222,-0.4237017130659009,-0.4177125516562908,0.0,0.8888888888888888,0.3111111111111111,0.33993463423951903,0.0
Defintion of climate and weather,6,6,1.0,,,,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0
Name of the climate variables,6,6,1.0,0.0,0.0,0.0,0.3333333333333333,0.816496580927726,0.3333333333333333,,,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.408248290463863,0.0
Hemato-biochemical changes in rohu due to an increase of temparature,6,6,1.0,0.0,0.0,0.0,0.08333333333333333,0.2041241452319315,0.08333333333333333,,,0.8333333333333334,1.0,0.041666666666666664,0.10206207261596575,0.0
Understanding of Concept,10,10,1.0,0.0,0.0,0.0,0.5,0.7071067811865476,0.5,,,0.5,1.0,0.125,0.1767766952966369,0.0
Step-by-Step Procedure,10,10,1.0,0.0,0.0,0.0,0.6,0.7745966692414834,0.6,,,0.4,1.0,0.15,0.19364916731037085,0.0
Accuracy of Final Answer,10,10,1.0,0.0,0.0,0.0,0.4,0.6324555320336759,0.0,,,0.6,1.0,0.1,0.15811388300841897,0.0
Clarity & Presentation,10,10,1.0,0.0,0.0,0.0,0.4,0.6324555320336759,-0.2,,,0.6,1.0,0.1,0.15811388300841897,0.0
Concept of Histogram Equalization,4,4,1.0,0.0,0.0,0.0,0.75,0.8660254037844386,-0.25,,,0.25,1.0,0.1875,0.21650635094610965,0.0
Necessity of Histogram Equalization,4,4,1.0,0.0,0.0,0.0,0.5,0.7071067811865476,0.5,,,0.5,1.0,0.125,0.1767766952966369,0.0
Concept of Histogram Matching,4,4,1.0,0.0,0.0,0.0,0.75,0.8660254037844386,-0.25,,,0.25,1.0,0.1875,0.21650635094610965,0.0
Necessity of Histogram Matching,4,4,1.0,0.0,0.0,0.0,0.5,0.7071067811865476,0.5,,,0.5,1.0,0.125,0.1767766952966369,0.0
Understanding of schema and instance (2),6,6,1.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896257,-0.3333333333333333,,,0.6666666666666666,1.0,0.16666666666666666,0.28867513459481287,0.0
Explanation of different types of keys with examples (4),6,6,1.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896257,-0.3333333333333333,,,0.6666666666666666,1.0,0.08333333333333333,0.14433756729740643,0.0
Correct identification of keys in given relation (2),6,6,1.0,0.0,0.0,0.0,0.5,0.7071067811865476,-0.16666666666666666,,,0.5,1.0,0.25,0.3535533905932738,0.0
Clear and organized writing (2),6,6,1.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896257,-0.3333333333333333,,,0.6666666666666666,1.0,0.16666666666666666,0.28867513459481287,0.0
