criterion,n_total,n_valid,parse_rate,qwk,linear_kappa,cohen_kappa,mae,rmse,bias,pearson,spearman,exact_match,adjacent_match,mae_normalized,rmse_normalized,over_max_rate
Supervised Learning,9,9,1.0,-0.36363636363636376,-0.36363636363636354,-0.36363636363636354,0.2777777777777778,0.37267799624996495,0.05555555555555555,-0.3779644730092272,-0.3779644730092272,0.4444444444444444,1.0,0.11111111111111109,0.14907119849998596,0.0
Unsupervised Learning,9,9,1.0,0.0,0.0,0.0,0.16666666666666666,0.28867513459481287,0.16666666666666666,,,0.6666666666666666,1.0,0.06666666666666665,0.11547005383792512,0.0
Reinforcement Learning,9,9,1.0,0.0,0.0,0.0,0.4444444444444444,0.8819171036881969,0.4444444444444444,,,0.5555555555555556,0.8888888888888888,0.17777777777777776,0.35276684147527876,0.0
"Example, Overall Clarity & Structure",9,9,1.0,-0.013245033112582849,-0.13793103448275867,-0.22033898305084754,0.6111111111111112,0.6871842709362768,0.16666666666666666,-0.014744195615489702,-0.009180495640797601,0.1111111111111111,1.0,0.24444444444444446,0.27487370837451075,0.0
Defintion of climate and weather,6,6,1.0,,,,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0
Name of the climate variables,6,6,1.0,0.2139037433155081,0.1923076923076924,0.4545454545454546,0.2916666666666667,0.7144345083117603,0.2916666666666667,0.9999999999999996,1.0,0.8333333333333334,0.8333333333333334,0.14583333333333334,0.3572172541558801,0.0
Hemato-biochemical changes in rohu due to an increase of temparature,6,6,1.0,0.0,0.0,0.0,0.08333333333333333,0.2041241452319315,0.08333333333333333,,,0.8333333333333334,1.0,0.041666666666666664,0.10206207261596575,0.0
Understanding of Concept,10,10,1.0,0.0,0.0,0.0,0.5,0.7071067811865476,0.3,0.0,0.0,0.5,1.0,0.125,0.1767766952966369,0.0
Step-by-Step Procedure,10,10,1.0,0.16666666666666663,0.16666666666666663,0.16666666666666663,0.4,0.6324555320336759,0.0,0.16666666666666674,0.16666666666666669,0.6,1.0,0.1,0.15811388300841897,0.0
Accuracy of Final Answer,10,10,1.0,0.0,0.0,0.0,0.4,0.6324555320336759,0.0,,,0.6,1.0,0.1,0.15811388300841897,0.0
Clarity & Presentation,10,10,1.0,0.34782608695652173,0.31818181818181823,0.30232558139534893,0.3,0.5477225575051661,-0.1,0.4444444444444445,0.46481112585226414,0.7,1.0,0.075,0.13693063937629152,0.0
Concept of Histogram Equalization,4,4,1.0,-0.33333333333333326,-0.33333333333333326,-0.33333333333333326,1.0,1.224744871391589,0.5,-0.5222329678670934,-0.5443310539518174,0.25,0.75,0.25,0.30618621784789724,0.0
Necessity of Histogram Equalization,4,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Concept of Histogram Matching,4,4,1.0,0.4285714285714286,0.33333333333333337,0.2727272727272727,0.5,0.7071067811865476,0.0,0.5222329678670934,0.5443310539518174,0.5,1.0,0.125,0.1767766952966369,0.0
Necessity of Histogram Matching,4,4,1.0,0.5,0.5,0.5,0.25,0.5,-0.25,0.5773502691896256,0.5773502691896257,0.75,1.0,0.0625,0.125,0.0
Understanding of schema and instance (2),6,6,1.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.16666666666666666,0.408248290463863,-0.16666666666666666,0.6324555320336759,0.632455532033676,0.8333333333333334,1.0,0.08333333333333333,0.2041241452319315,0.0
Explanation of different types of keys with examples (4),6,6,1.0,0.4999999999999999,0.3999999999999999,0.33333333333333326,0.3333333333333333,0.5773502691896257,-0.3333333333333333,0.6123724356957944,0.6123724356957945,0.6666666666666666,1.0,0.08333333333333333,0.14433756729740643,0.0
