criterion,n_total,n_valid,parse_rate,qwk,linear_kappa,cohen_kappa,mae,rmse,bias,pearson,spearman,exact_match,adjacent_match,mae_normalized,rmse_normalized,over_max_rate
Supervised Learning,9,9,1.0,-0.125,-0.125,-0.12499999999999978,0.3333333333333333,0.408248290463863,-0.2222222222222222,-0.18898223650461365,-0.1889822365046136,0.3333333333333333,1.0,0.1333333333333333,0.16329931618554516,0.0
Unsupervised Learning,9,9,1.0,0.0,0.0,0.0,0.3333333333333333,0.408248290463863,-0.3333333333333333,,,0.3333333333333333,1.0,0.1333333333333333,0.16329931618554516,0.0
Reinforcement Learning,9,9,1.0,0.37,0.18181818181818188,0.05263157894736836,0.4444444444444444,0.6236095644623235,-0.1111111111111111,0.9540646527893839,0.6123724356957946,0.3333333333333333,0.8888888888888888,0.17777777777777776,0.2494438257849294,0.0
"Example, Overall Clarity & Structure",9,9,1.0,-0.3999999999999999,-0.16470588235294126,-0.016129032258064502,0.6111111111111112,0.7637626158259734,0.2777777777777778,-0.663488802697037,-0.658504607868518,0.2222222222222222,0.8888888888888888,0.24444444444444446,0.30550504633038933,0.0
Defintion of climate and weather,6,6,1.0,,,,0.5,0.5,-0.5,,,0.0,1.0,0.25,0.25,0.0
Name of the climate variables,6,6,1.0,0.0,0.0,0.0,0.6666666666666666,0.7637626158259734,-0.16666666666666666,,,0.0,0.8333333333333334,0.3333333333333333,0.3818813079129867,0.0
Hemato-biochemical changes in rohu due to an increase of temparature,6,6,1.0,0.037735849056603765,0.03571428571428581,0.032258064516129115,0.375,0.4208127057650866,-0.375,0.20000000000000004,0.20000000000000007,0.16666666666666666,1.0,0.1875,0.2104063528825433,0.0
Understanding of Concept,10,10,1.0,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.4,0.6324555320336759,0.0,0.2,0.2,0.6,1.0,0.1,0.15811388300841897,0.0
Step-by-Step Procedure,10,10,1.0,-0.36363636363636354,-0.36363636363636354,-0.36363636363636354,0.6,0.7745966692414834,-0.2,-0.40824829046386313,-0.408248290463863,0.4,1.0,0.15,0.19364916731037085,0.0
Accuracy of Final Answer,10,10,1.0,0.0,0.04255319148936165,0.07894736842105265,0.9,1.140175425099138,0.9,0.0,0.0,0.3,0.8,0.225,0.2850438562747845,0.0
Clarity & Presentation,10,10,1.0,0.0,0.0,0.0,0.4,0.6324555320336759,-0.2,,,0.6,1.0,0.1,0.15811388300841897,0.0
Concept of Histogram Equalization,4,4,1.0,0.0,0.0,0.0,0.75,1.118033988749895,0.75,,,0.5,0.75,0.1875,0.2795084971874737,0.0
Necessity of Histogram Equalization,4,4,1.0,0.0,0.0,0.0,1.5,1.5811388300841898,1.5,,,0.0,0.5,0.375,0.39528470752104744,0.0
Concept of Histogram Matching,4,4,1.0,0.5555555555555556,0.33333333333333337,0.11111111111111116,0.5,0.7071067811865476,0.5,0.8703882797784892,0.8164965809277261,0.5,1.0,0.125,0.1767766952966369,0.0
Necessity of Histogram Matching,4,4,1.0,0.125,0.0,-0.1428571428571428,1.25,1.3228756555322954,1.25,0.5773502691896258,0.5773502691896257,0.0,0.75,0.3125,0.33071891388307384,0.0
Understanding of schema and instance (2),6,6,1.0,0.0,0.0,0.0,0.5,0.5,0.16666666666666666,,,0.0,1.0,0.25,0.25,0.0
Explanation of different types of keys with examples (4),6,6,1.0,0.0,0.0,0.0,0.6666666666666666,0.816496580927726,0.6666666666666666,,,0.3333333333333333,1.0,0.16666666666666666,0.2041241452319315,0.0
Correct identification of keys in given relation (2),6,6,1.0,0.0,0.0,0.0,0.6666666666666666,0.7637626158259734,0.3333333333333333,,,0.0,0.8333333333333334,0.3333333333333333,0.3818813079129867,0.0
Clear and organized writing (2),6,6,1.0,0.0,0.0,0.0,0.5,0.5,0.16666666666666666,,,0.0,1.0,0.25,0.25,0.0
Definition of Method Overloading,5,5,1.0,0.0,0.0,0.0,1.6,2.0976176963403033,1.6,,,0.4,0.4,0.4,0.5244044240850758,0.0
Definition of Method Overriding,5,5,1.0,0.0,0.0,0.0,2.5,2.692582403567252,2.5,,,0.0,0.2,0.625,0.673145600891813,0.0
Comparision,5,5,1.0,-0.15384615384615374,-0.06060606060606055,0.04761904761904767,1.4,1.7320508075688772,-0.2,-0.32274861218395134,-0.3952847075210474,0.2,0.6,0.35,0.4330127018922193,0.0
Example / Application,13,13,1.0,0.41607565011820336,0.25287356321839094,0.025000000000000022,1.5384615384615385,1.7097008285302207,0.9230769230769231,0.6533052580081484,0.7735282274967528,0.07692307692307693,0.46153846153846156,0.38461538461538464,0.42742520713255516,0.0
Definition of Data Mining,8,8,1.0,0.8064516129032258,0.6363636363636364,0.4418604651162791,0.375,0.6123724356957945,-0.375,0.8703882797784892,0.7833891945495459,0.625,1.0,0.09375,0.15309310892394862,0.0
KDD Process Steps,8,8,1.0,0.808,0.5384615384615384,0.09433962264150941,0.75,0.8660254037844386,-0.25,0.9060938341128382,0.9144087208387989,0.25,1.0,0.1875,0.21650635094610965,0.0
Importance of Data Mining Marks=(4),8,8,1.0,0.5051546391752577,0.3191489361702128,0.11111111111111116,1.0,1.224744871391589,0.75,0.6510226865429845,0.7249791782804239,0.25,0.75,0.25,0.30618621784789724,0.0
