model,regime,n_total,n_valid,parse_rate,n_answers_total,n_answers_complete,answer_parse_rate,n_answers,qwk,linear_kappa,cohen_kappa,mae,rmse,bias,pearson,spearman,exact_match,adjacent_match,mae_normalized,rmse_normalized,over_max_rate,answer_mae,answer_rmse,answer_bias,answer_pearson,answer_within_1
qwen25vl,few_shot,291,291,1.0,72,72,1.0,72,0.5859901804077938,0.4333410450148901,0.1778615925753274,0.6797250857467914,0.9666696288780701,-0.05532646031723809,0.5954039922355914,0.6141825211667148,0.3127147766323024,0.8831615120274914,0.24627720495816086,0.3348362451721231,0.0,1.9833333326710596,2.5825939789887293,-0.2236111104488373,0.6875159260252691,0.4027777777777778
ensemble,few_shot,291,291,1.0,72,72,1.0,72,0.5704822465786289,0.36481198149523775,0.055926971826361194,0.7871134018979941,1.0072802001607177,-0.3025773194237673,0.6013237547696437,0.6273305113254181,0.15120274914089346,0.7422680412371134,0.2858533790704174,0.3615244570898258,0.0,2.2159722215599484,2.8897628204269665,-1.2229166660043929,0.7035216571348678,0.375
internvl3,few_shot,291,291,1.0,72,72,1.0,72,0.4634605532810121,0.2858046469301685,0.037034429345912834,0.9786941579117399,1.2536064809963106,-0.5697594500079597,0.5212677371194674,0.5396521666626148,0.19243986254295534,0.7250859106529209,0.3514604810177256,0.4489389190138952,0.0,3.1083333326710596,3.964976879755728,-2.302777777115504,0.6366018986511542,0.3055555555555556
pixtral,few_shot,291,291,1.0,72,72,1.0,72,0.4323516662166046,0.31527115622153035,0.1360237519243458,0.7957044671900904,1.0913239538498238,-0.05171821289455768,0.44807714704578006,0.4668555824581557,0.25773195876288657,0.7835051546391752,0.2795246276385733,0.36264619957551864,0.0,2.431249999337726,3.137646631028821,-0.20902777711550394,0.526579144053486,0.3888888888888889
donut,few_shot,291,0,0.0,72,0,0.0,0,,,,,,,,,,,,,,,,,,
ensemble,full,291,291,1.0,72,72,1.0,72,0.7121207941006065,0.6236221573039991,0.39762817345317103,0.47697594485332057,0.8511968528935653,0.11580756030131861,0.7169442424657463,0.7224588266754155,0.46735395189003437,0.9312714776632303,0.15419530346904287,0.25851905985659146,0.0,1.3791666660043929,1.8851208325121682,0.4680555562178294,0.8542133938746994,0.5972222222222222
qwen25vl,full,291,291,1.0,72,72,1.0,72,0.7035163330375553,0.6218056703761614,0.47006235858948187,0.48728522320383605,0.8829036755192072,0.14845360841128424,0.7095069021276394,0.7136601404323285,0.5463917525773195,0.9381443298969072,0.15816151194556063,0.27866282253964303,0.0,1.677777777115504,2.4336757746371775,0.6000000006622739,0.7804137043091975,0.5416666666666666
internvl3,full,291,291,1.0,72,72,1.0,72,0.6290236646934051,0.6077853454246032,0.5063681868743048,0.5096219929632863,0.9958504972936963,0.10206185583396465,0.6315161053856211,0.6462302819735638,0.5807560137457045,0.9312714776632303,0.16371706750111617,0.30099309024048854,0.0,1.2958333326710596,1.8940330271842283,0.4125000006622738,0.8476364968641537,0.6805555555555556
pixtral,full,291,291,1.0,72,72,1.0,72,0.5523991376526439,0.5133943243757755,0.40735660847880306,0.6565292094581315,1.1292388640624071,-0.2046391750938704,0.5616823758766063,0.5954300780367385,0.4948453608247423,0.8591065292096219,0.22697594493525136,0.37982105261262944,0.0,2.0979166660043926,2.85920176200708,-0.8270833326710595,0.6775404216218592,0.4861111111111111
donut,full,291,150,0.5154639175257731,72,20,0.2777777777777778,20,0.2945163277880468,0.22151210225727502,0.11939083933968841,0.7633333333333333,1.0700467279516348,0.09,0.3720582112081586,0.39307971621781074,0.32666666666666666,0.82,0.27183333333333337,0.3921267982756674,0.0,1.8,2.361143790623519,0.9,0.27135746503455677,0.5
ensemble,lora,291,291,1.0,72,72,1.0,72,0.732256315378822,0.6511050083171165,0.45483424289321495,0.4417525771557261,0.8202809424593627,0.00326460497485813,0.7331388886004444,0.7431103773289516,0.5257731958762887,0.9312714776632303,0.15158934699710702,0.27417164535321015,0.0,1.1048611104488373,1.4857073690685871,0.013194445106718276,0.8979354033257938,0.5972222222222222
qwen25vl,lora,291,291,1.0,72,72,1.0,72,0.726684650019856,0.6626997811389295,0.5366436203645506,0.43487972492204907,0.846871136234614,0.013573883325373595,0.7267436218016291,0.7285219283629166,0.6082474226804123,0.9381443298969072,0.15045819006698102,0.28521124840279116,0.0,1.2298611104488373,1.5868491659239676,0.054861111773384943,0.8901449791256895,0.6388888888888888
internvl3,lora,291,291,1.0,72,72,1.0,72,0.7074574526999236,0.6490698578409595,0.5267828354338104,0.4477663228601934,0.8689271339777872,-0.002749140729609224,0.7076213475730906,0.7333967514239295,0.6013745704467354,0.9381443298969072,0.15495418090317803,0.29227477103792565,0.0,1.1708333326710596,1.6163874321922784,-0.01111111044883728,0.879691363259811,0.6666666666666666
pixtral,lora,291,291,1.0,72,72,1.0,72,0.6587346459886931,0.6023217368943095,0.4732403457566233,0.5113402060217055,0.9429882310302355,-0.0800687283584752,0.660425801668427,0.6808620655027077,0.5567010309278351,0.9312714776632303,0.1693298968252857,0.2976998334682393,0.0,1.427777777115504,2.0941883858977426,-0.3236111104488373,0.8071678208562443,0.6111111111111112
donut,lora,291,152,0.5223367697594502,72,22,0.3055555555555556,22,0.07963572950978492,0.05706783369803059,0.015522054718034473,0.9325657894736842,1.2208778657826076,-0.018092105263157895,0.10769483255678637,0.12504798454846822,0.23684210526315788,0.7236842105263158,0.31293859649122807,0.4140443799135688,0.0,2.6818181818181817,3.3311545909925746,0.9772727272727273,0.21899621799508143,0.18181818181818182
qwen25vl,zero_shot,291,291,1.0,72,72,1.0,72,0.5991244890694347,0.43635259290887196,0.16082519964507536,0.6640893469151762,0.9378312701710355,0.2053264606449612,0.6269447624814376,0.6436290571863491,0.2852233676975945,0.8865979381443299,0.23304696440833264,0.3061394503998362,0.0,1.8020833326710592,2.352724484000584,0.829861111773385,0.7610527570855988,0.4027777777777778
ensemble,zero_shot,291,291,1.0,72,72,1.0,72,0.5754529525741963,0.3981124126767105,0.08093017057569296,0.6908934706265164,0.9351893058543287,0.1304123712978822,0.6063570085265233,0.6166488987476274,0.18556701030927836,0.8350515463917526,0.243613974717611,0.3105486037266066,0.0,1.820138888226615,2.400817279122573,0.5270833339956071,0.7189931537932541,0.3888888888888889
