model,regime,criterion,n_total,n_valid,parse_rate,qwk,linear_kappa,cohen_kappa,mae,rmse,bias,pearson,spearman,exact_match,adjacent_match,mae_normalized,rmse_normalized,over_max_rate
donut,few_shot,Supervised Learning,9,0,0.0,,,,,,,,,,,,,
donut,few_shot,Unsupervised Learning,9,0,0.0,,,,,,,,,,,,,
donut,few_shot,Reinforcement Learning,9,0,0.0,,,,,,,,,,,,,
donut,few_shot,"Example, Overall Clarity & Structure",9,0,0.0,,,,,,,,,,,,,
donut,few_shot,Defintion of climate and weather,6,0,0.0,,,,,,,,,,,,,
donut,few_shot,Name of the climate variables,6,0,0.0,,,,,,,,,,,,,
donut,few_shot,Hemato-biochemical changes in rohu due to an increase of temparature,6,0,0.0,,,,,,,,,,,,,
donut,few_shot,Understanding of Concept,10,0,0.0,,,,,,,,,,,,,
donut,few_shot,Step-by-Step Procedure,10,0,0.0,,,,,,,,,,,,,
donut,few_shot,Accuracy of Final Answer,10,0,0.0,,,,,,,,,,,,,
donut,few_shot,Clarity & Presentation,10,0,0.0,,,,,,,,,,,,,
donut,few_shot,Concept of Histogram Equalization,4,0,0.0,,,,,,,,,,,,,
donut,few_shot,Necessity of Histogram Equalization,4,0,0.0,,,,,,,,,,,,,
donut,few_shot,Concept of Histogram Matching,4,0,0.0,,,,,,,,,,,,,
donut,few_shot,Necessity of Histogram Matching,4,0,0.0,,,,,,,,,,,,,
donut,few_shot,Understanding of schema and instance (2),6,0,0.0,,,,,,,,,,,,,
donut,few_shot,Explanation of different types of keys with examples (4),6,0,0.0,,,,,,,,,,,,,
donut,few_shot,Correct identification of keys in given relation (2),6,0,0.0,,,,,,,,,,,,,
donut,few_shot,Clear and organized writing (2),6,0,0.0,,,,,,,,,,,,,
donut,few_shot,Definition of Method Overloading,5,0,0.0,,,,,,,,,,,,,
donut,few_shot,Definition of Method Overriding,5,0,0.0,,,,,,,,,,,,,
donut,few_shot,Comparision,5,0,0.0,,,,,,,,,,,,,
donut,few_shot,Example / Application,13,0,0.0,,,,,,,,,,,,,
donut,few_shot,Definition of Data Mining,8,0,0.0,,,,,,,,,,,,,
donut,few_shot,KDD Process Steps,8,0,0.0,,,,,,,,,,,,,
donut,few_shot,Importance of Data Mining Marks=(4),8,0,0.0,,,,,,,,,,,,,
donut,few_shot,Understanding of normalization and related problems(3),10,0,0.0,,,,,,,,,,,,,
donut,few_shot,Explanation of normal forms(3),10,0,0.0,,,,,,,,,,,,,
donut,few_shot,Use of example(2),10,0,0.0,,,,,,,,,,,,,
donut,few_shot,Clear and organized writing(2),10,0,0.0,,,,,,,,,,,,,
donut,few_shot,Definition of Quantization,3,0,0.0,,,,,,,,,,,,,
donut,few_shot,Purpose of Quantization,3,0,0.0,,,,,,,,,,,,,
donut,few_shot,Max-Lloyd Algorithm Explanation,3,0,0.0,,,,,,,,,,,,,
donut,few_shot,Boundary & Centroid Conditions,3,0,0.0,,,,,,,,,,,,,
donut,few_shot,Importance of R² and Variability (eg. 0.85 or 85%) explained by the model,2,0,0.0,,,,,,,,,,,,,
donut,few_shot,"Mathematical Expression & Interpretation and Evaluate model performance by               R² ≈ 1 → very good fit 
R² ≈ 0 → poor fit 
R²<0 → model is worse than just using the mean",2,0,0.0,,,,,,,,,,,,,
donut,few_shot,Critical Insight (Limitations / Adjusted R²) and higher R² strengthens confidence,2,0,0.0,,,,,,,,,,,,,
donut,few_shot,Enables comparison between models and overfitting issues,2,0,0.0,,,,,,,,,,,,,
donut,few_shot,Identification of Layers (2 Marks),9,0,0.0,,,,,,,,,,,,,
donut,few_shot,Explanation of Layers with diagram (4 Marks),9,0,0.0,,,,,,,,,,,,,
donut,few_shot,Technical Accuracy (2 Marks),9,0,0.0,,,,,,,,,,,,,
donut,few_shot,Examples/Protocols(1 Mark),9,0,0.0,,,,,,,,,,,,,
donut,few_shot,Clarity & Organization (1 Mark),9,0,0.0,,,,,,,,,,,,,
donut,full,Supervised Learning,9,4,0.4444444444444444,0.0,0.0,0.0,0.375,0.4330127018922193,-0.375,,,0.25,1.0,0.14999999999999997,0.17320508075688767,0.0
donut,full,Unsupervised Learning,9,6,0.6666666666666666,0.0,0.0,0.0,0.4166666666666667,0.45643546458763845,-0.4166666666666667,,,0.16666666666666666,1.0,0.16666666666666663,0.18257418583505533,0.0
donut,full,Reinforcement Learning,9,6,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.408248290463863,-0.3333333333333333,,,0.3333333333333333,1.0,0.1333333333333333,0.16329931618554516,0.0
donut,full,"Example, Overall Clarity & Structure",9,6,0.6666666666666666,0.0,0.0,0.0,0.4166666666666667,0.5400617248673217,0.25,,,0.3333333333333333,1.0,0.16666666666666666,0.21602468994692872,0.0
donut,full,Defintion of climate and weather,6,1,0.16666666666666666,,,,2.0,2.0,-2.0,,,0.0,0.0,,,0.0
donut,full,Name of the climate variables,6,0,0.0,,,,,,,,,,,,,
donut,full,Hemato-biochemical changes in rohu due to an increase of temparature,6,0,0.0,,,,,,,,,,,,,
donut,full,Understanding of Concept,10,2,0.2,,,,2.0,2.0,-2.0,,,0.0,0.0,0.5,0.5,0.0
donut,full,Step-by-Step Procedure,10,4,0.4,0.09999999999999998,0.09090909090909094,0.07692307692307687,1.25,1.5,-1.25,0.3333333333333333,0.3333333333333333,0.25,0.5,0.3125,0.375,0.0
donut,full,Accuracy of Final Answer,10,0,0.0,,,,,,,,,,,,,
donut,full,Clarity & Presentation,10,6,0.6,0.5,0.33333333333333337,0.19999999999999996,0.6666666666666666,0.816496580927726,-0.3333333333333333,0.7071067811865475,0.7071067811865475,0.3333333333333333,1.0,0.16666666666666666,0.2041241452319315,0.0
donut,full,Concept of Histogram Equalization,4,3,0.75,-2.220446049250313e-16,-0.15384615384615397,-0.2857142857142858,0.8333333333333334,0.8660254037844386,0.16666666666666666,0.0,0.0,0.0,1.0,0.20833333333333334,0.21650635094610965,0.0
donut,full,Necessity of Histogram Equalization,4,3,0.75,0.0,0.0,0.0,0.6666666666666666,0.816496580927726,0.6666666666666666,,,0.3333333333333333,1.0,0.16666666666666666,0.2041241452319315,0.0
donut,full,Concept of Histogram Matching,4,2,0.5,0.0,0.0,0.0,0.5,0.7071067811865476,0.5,,,0.5,1.0,0.125,0.1767766952966369,0.0
donut,full,Necessity of Histogram Matching,4,2,0.5,0.0,0.0,0.0,0.5,0.7071067811865476,0.5,,,0.5,1.0,0.125,0.1767766952966369,0.0
donut,full,Understanding of schema and instance (2),6,2,0.3333333333333333,0.0,0.0,0.0,0.5,0.7071067811865476,0.5,,,0.5,1.0,0.25,0.3535533905932738,0.0
donut,full,Explanation of different types of keys with examples (4),6,2,0.3333333333333333,,,,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0
donut,full,Correct identification of keys in given relation (2),6,2,0.3333333333333333,0.0,0.0,0.0,0.5,0.7071067811865476,0.5,,,0.5,1.0,0.25,0.3535533905932738,0.0
donut,full,Clear and organized writing (2),6,2,0.3333333333333333,0.0,0.0,0.0,0.5,0.7071067811865476,0.5,,,0.5,1.0,0.25,0.3535533905932738,0.0
donut,full,Definition of Method Overloading,5,3,0.6,0.4878048780487805,0.2758620689655171,0.0,1.1666666666666667,1.3228756555322954,1.1666666666666667,0.9449111825230683,0.8660254037844387,0.0,0.6666666666666666,0.2916666666666667,0.33071891388307384,0.0
