model,regime,d_qwk,d_mae,d_exact_match
qwen25vl,few_shot,-0.013134308661640892,0.015635738831615176,0.027491408934707917
qwen25vl,full,0.10439184396812062,-0.17680412371134013,0.26116838487972505
qwen25vl,lora,0.12756016095042133,-0.2292096219931271,0.32302405498281783
ensemble,few_shot,-0.0049707059955673705,0.09621993127147765,-0.034364261168384896
ensemble,full,0.1366678415264102,-0.21391752577319584,0.281786941580756
ensemble,lora,0.1568033628046257,-0.24914089347079033,0.3402061855670103
internvl3,few_shot,-0.043956254307014886,0.23625429520492303,-0.06872852233676977
internvl3,full,0.12160685710537811,-0.23281786974353058,0.3195876288659794
internvl3,lora,0.20004064511189656,-0.2946735398466234,0.34020618556701027
pixtral,few_shot,-0.05077478227325094,0.07817869415807566,-0.061855670103092786
pixtral,full,0.06927268916278839,-0.06099656357388317,0.17525773195876293
pixtral,lora,0.1756081974988376,-0.2061855670103092,0.23711340206185572
donut,few_shot,,,
donut,full,,,
donut,lora,,,
