model,regime,qwk,mae,human_ceiling_qwk,qwk_gap,reaches_ceiling,ci_overlaps_ceiling
ensemble,lora,0.732256315378822,0.4417525771557261,0.5508357084547592,-0.1814206069240628,True,False
qwen25vl,lora,0.726684650019856,0.43487972492204907,0.5508357084547592,-0.1758489415650969,True,False
ensemble,full,0.7121207941006065,0.47697594485332057,0.5508357084547592,-0.16128508564584731,True,False
internvl3,lora,0.7074574526999236,0.4477663228601934,0.5508357084547592,-0.1566217442451644,True,False
qwen25vl,full,0.7035163330375553,0.48728522320383605,0.5508357084547592,-0.1526806245827962,True,False
pixtral,lora,0.6587346459886931,0.5113402060217055,0.5508357084547592,-0.10789893753393398,True,True
internvl3,full,0.6290236646934051,0.5096219929632863,0.5508357084547592,-0.07818795623864594,True,True
qwen25vl,zero_shot,0.5991244890694347,0.6640893469151762,0.5508357084547592,-0.048288780614675564,True,True
qwen25vl,few_shot,0.5859901804077938,0.6797250857467914,0.5508357084547592,-0.03515447195303467,True,True
ensemble,zero_shot,0.5754529525741963,0.6908934706265164,0.5508357084547592,-0.02461724411943711,True,True
ensemble,few_shot,0.5704822465786289,0.7871134018979941,0.5508357084547592,-0.01964653812386974,True,True
pixtral,full,0.5523991376526439,0.6565292094581315,0.5508357084547592,-0.0015634291978847692,True,True
internvl3,zero_shot,0.507416807588027,0.7424398627068168,0.5508357084547592,0.04341890086673217,False,True
pixtral,zero_shot,0.48312644848985553,0.7175257730320147,0.5508357084547592,0.06770925996490362,False,True
internvl3,few_shot,0.4634605532810121,0.9786941579117399,0.5508357084547592,0.08737515517374705,False,False
pixtral,few_shot,0.4323516662166046,0.7957044671900904,0.5508357084547592,0.11848404223815456,False,False
donut,full,0.2945163277880468,0.7633333333333333,0.5508357084547592,0.25631938066671234,False,False
donut,lora,0.07963572950978492,0.9325657894736842,0.5508357084547592,0.47119997894497423,False,False
