model,regime,feature,group,n_total,n_valid,parse_rate,qwk,linear_kappa,cohen_kappa,mae,rmse,bias,pearson,spearman,exact_match,adjacent_match,mae_normalized,rmse_normalized,over_max_rate
donut,few_shot,handwriting_density_grp,high,102,0,0.0,,,,,,,,,,,,,
donut,few_shot,handwriting_density_grp,low,96,0,0.0,,,,,,,,,,,,,
donut,few_shot,handwriting_density_grp,mid,93,0,0.0,,,,,,,,,,,,,
donut,few_shot,answer_length_grp,high,99,0,0.0,,,,,,,,,,,,,
donut,few_shot,answer_length_grp,low,97,0,0.0,,,,,,,,,,,,,
donut,few_shot,answer_length_grp,mid,95,0,0.0,,,,,,,,,,,,,
donut,few_shot,subject,data_mining,32,0,0.0,,,,,,,,,,,,,
donut,few_shot,subject,databases,64,0,0.0,,,,,,,,,,,,,
donut,few_shot,subject,environment,18,0,0.0,,,,,,,,,,,,,
donut,few_shot,subject,image_processing,28,0,0.0,,,,,,,,,,,,,
donut,few_shot,subject,machine_learning,36,0,0.0,,,,,,,,,,,,,
donut,few_shot,subject,networking,45,0,0.0,,,,,,,,,,,,,
donut,few_shot,subject,other,40,0,0.0,,,,,,,,,,,,,
donut,few_shot,subject,programming,20,0,0.0,,,,,,,,,,,,,
donut,few_shot,criterion_scale_grp,large_scale,151,0,0.0,,,,,,,,,,,,,
donut,few_shot,criterion_scale_grp,small_scale,140,0,0.0,,,,,,,,,,,,,
donut,few_shot,criterion_type,application,74,0,0.0,,,,,,,,,,,,,
donut,few_shot,criterion_type,definition_theory,126,0,0.0,,,,,,,,,,,,,
donut,few_shot,criterion_type,numerical,48,0,0.0,,,,,,,,,,,,,
donut,few_shot,criterion_type,structure_clarity,34,0,0.0,,,,,,,,,,,,,
donut,full,handwriting_density_grp,high,102,66,0.6470588235294118,0.4509598603839441,0.3000307408545958,0.13684210526315788,0.5227272727272727,0.7359800721939872,0.14393939393939395,0.5541396437081475,0.5477584424844264,0.3787878787878788,0.9545454545454546,0.2102272727272727,0.32759742941234404,0.0
donut,full,handwriting_density_grp,low,96,40,0.4166666666666667,0.1928402566700439,0.15165601394538064,0.09657320872274144,0.9125,1.2221906561580316,-0.0375,0.22619261739284635,0.28736014723834064,0.275,0.775,0.3191666666666667,0.4401270334296174,0.0
donut,full,handwriting_density_grp,mid,93,44,0.4731182795698925,0.23558897243107768,0.17535545023696686,0.09308510638297884,0.9886363636363636,1.3164173143249618,0.125,0.33985771724922803,0.29911111932613565,0.29545454545454547,0.6590909090909091,0.3212121212121212,0.4325641483343741,0.0
donut,full,answer_length_grp,high,99,63,0.6363636363636364,0.14548311076197962,0.1012163988586875,0.051522248243559665,0.753968253968254,1.0137937550497031,0.24603174603174602,0.29462990619877055,0.2624829086883525,0.2857142857142857,0.8095238095238095,0.2464285714285714,0.3352606319835729,0.0
donut,full,answer_length_grp,low,97,42,0.4329896907216495,0.44108761329305135,0.3194444444444444,0.20117044623262625,0.75,1.0493762319542388,-0.27380952380952384,0.5204249772820378,0.5568321726999771,0.38095238095238093,0.8095238095238095,0.2591269841269841,0.3805888642589055,0.0
donut,full,answer_length_grp,mid,95,45,0.47368421052631576,0.2783607206493762,0.25123037262713854,0.1323907455012855,0.7888888888888889,1.161895003862225,0.2111111111111111,0.32700065554629365,0.41423140328402747,0.3333333333333333,0.8444444444444444,0.31925925925925924,0.46903499566716106,0.0
donut,full,subject,data_mining,32,14,0.4375,0.0,0.02777777777777779,0.010869565217391242,1.4285714285714286,1.6583123951777,0.21428571428571427,6.938893903907228e-18,0.026044089034623786,0.07142857142857142,0.5714285714285714,0.35714285714285715,0.414578098794425,0.0
donut,full,subject,databases,64,23,0.359375,-0.02854424357754537,-0.012578616352201477,0.04528301886792441,0.45652173913043476,0.7147514009901564,0.1956521739130435,-0.1038665604058441,-0.19176354140960553,0.5217391304347826,0.9565217391304348,0.1992753623188406,0.32181174921429945,0.0
donut,full,subject,environment,18,1,0.05555555555555555,,,,2.0,2.0,-2.0,,,0.0,0.0,,,0.0
donut,full,subject,image_processing,28,21,0.75,0.010767160161507472,-0.03426124197002145,-0.06886227544910173,0.5476190476190477,0.6454972243679028,0.11904761904761904,0.03385456845327664,0.0,0.19047619047619047,1.0,0.17261904761904762,0.1940330114279772,0.0
donut,full,subject,machine_learning,36,22,0.6111111111111112,0.0,0.0,0.0,0.38636363636363635,0.4646601886422926,-0.20454545454545456,,,0.2727272727272727,1.0,0.15454545454545457,0.18586407545691702,0.0
donut,full,subject,networking,45,39,0.8666666666666667,0.4912081678956324,0.4086193136472466,0.3356713426853707,0.48717948717948717,0.7679476477883045,0.3333333333333333,0.6446422293037338,0.6647527833497452,0.5641025641025641,0.9487179487179487,0.3076923076923077,0.5126602313623643,0.0
donut,full,subject,other,40,12,0.3,0.11267605633802824,0.09302325581395354,0.06896551724137945,1.0833333333333333,1.3228756555322954,-0.9166666666666666,0.23904572186687867,0.23904572186687872,0.25,0.6666666666666666,0.2708333333333333,0.33071891388307384,0.0
donut,full,subject,programming,20,14,0.7,-0.050254916241806225,-0.054216867469879526,0.0,1.7857142857142858,1.917960226013936,0.21428571428571427,-0.08150649263977719,-0.1810847452592239,0.0,0.2857142857142857,0.44642857142857145,0.479490056503484,0.0
donut,full,criterion_scale_grp,large_scale,151,69,0.45695364238410596,0.12063174444365043,0.08769086411328142,0.05551330798479093,1.1231884057971016,1.3922664246118446,0.007246376811594203,0.16600849726028896,0.12999408082767586,0.21739130434782608,0.6666666666666666,0.2916666666666667,0.3604951081878577,0.0
donut,full,criterion_scale_grp,small_scale,140,81,0.5785714285714286,0.4588607594936708,0.33621262458471757,0.17508125677139763,0.4567901234567901,0.6849348892187751,0.16049382716049382,0.5578243527533963,0.5768963627881611,0.41975308641975306,0.9506172839506173,0.25493827160493826,0.4171848629523166,0.0
donut,full,criterion_type,application,74,47,0.6351351351351351,0.14574217435206993,0.21666666666666656,0.272258064516129,0.851063829787234,1.312784923481051,0.3829787234042553,0.1955355704755501,0.30683460624779163,0.48936170212765956,0.7021276595744681,0.2845744680851064,0.4387330647759063,0.0
donut,full,criterion_type,definition_theory,126,64,0.5079365079365079,0.0979563072586328,0.017445917655268706,-0.03392568659127626,0.6875,0.8838834764831844,-0.0625,0.1501914830834359,0.05508812604126888,0.21875,0.90625,0.24192708333333332,0.32729226341978274,0.0
donut,full,criterion_type,numerical,48,16,0.3333333333333333,0.32183908045977017,0.19999999999999996,0.11111111111111116,1.125,1.357847561400027,-0.375,0.37363235887853663,0.3990037344430532,0.25,0.5625,0.30729166666666663,0.3755782578608322,0.0
donut,full,criterion_type,structure_clarity,34,17,0.5,0.5811384876805438,0.3676148796498906,0.1651785714285714,0.5,0.6530471562110152,0.4411764705882353,0.7884287526207956,0.8026602696734237,0.35294117647058826,1.0,0.35294117647058826,0.5232815011174815,0.0
donut,lora,handwriting_density_grp,high,102,61,0.5980392156862745,0.08387821822639963,0.06622930334270527,-0.036140224069389326,0.8032786885245902,1.097687584327565,0.26229508196721313,0.10796387330673425,0.14300237974031416,0.22950819672131148,0.8360655737704918,0.27377049180327867,0.37542629079201506,0.0
donut,lora,handwriting_density_grp,low,96,46,0.4791666666666667,0.24128778739098955,0.16489361702127658,0.09589041095890416,0.8532608695652174,1.1402945843642487,-0.15760869565217392,0.3599659420275117,0.3784084602315525,0.2826086956521739,0.7391304347826086,0.3259057971014493,0.44758645563254085,0.0
donut,lora,handwriting_density_grp,mid,93,45,0.4838709677419355,-0.0454687013391466,-0.05476451259583781,-0.009345794392523477,1.1888888888888889,1.4395215254459457,-0.25555555555555554,-0.0680629086245427,-0.07370973770897189,0.2,0.5555555555555556,0.3527777777777778,0.4280392418839569,0.0
donut,lora,answer_length_grp,high,99,63,0.6363636363636364,0.04022595001711737,0.06692265496434435,0.026863666890530435,0.8571428571428571,1.1885699023189225,0.38095238095238093,0.0574341603818959,0.10350016201669292,0.2698412698412698,0.7777777777777778,0.28849206349206347,0.4065531869597882,0.0
donut,lora,answer_length_grp,low,97,46,0.4742268041237113,0.22838626777284277,0.15357730263157887,0.07619610159480206,0.9728260869565217,1.2774167206753126,-0.47282608695652173,0.3807026682114878,0.39106182063485917,0.2608695652173913,0.6956521739130435,0.33967391304347827,0.44796406051926557,0.0
donut,lora,answer_length_grp,mid,95,43,0.45263157894736844,0.04000714413288087,-0.043453724604966215,-0.07949790794979084,1.0,1.2056070554260303,-0.11627906976744186,0.05410821225799463,0.03102086062937262,0.16279069767441862,0.6744186046511628,0.3201550387596899,0.3862126444309485,0.0
donut,lora,subject,data_mining,32,22,0.6875,-0.02877697841726623,-0.028328611898017053,-0.045248868778280604,1.5,1.7188791273808215,0.5,-0.044267726271644214,0.1249195196058766,0.045454545454545456,0.4090909090909091,0.375,0.4297197818452054,0.0
donut,lora,subject,databases,64,36,0.5625,0.05095541401273884,0.06779661016949157,0.08536585365853655,0.7638888888888888,1.0172129679778086,0.1527777777777778,0.05589563470198056,0.12017868402314563,0.3055555555555556,0.8055555555555556,0.306712962962963,0.4252019309678231,0.0
donut,lora,subject,environment,18,12,0.6666666666666666,0.31683168316831667,0.11267605633802813,-2.220446049250313e-16,0.4375,0.5994789404140899,-0.020833333333333332,0.32094281709596423,0.08367840037188021,0.3333333333333333,1.0,0.21875,0.29973947020704494,0.0
donut,lora,subject,image_processing,28,20,0.7142857142857143,0.1325301204819277,0.09909909909909909,0.10780669144981403,0.5,0.6708203932499369,0.2,0.2880212829407709,0.3159044453203566,0.4,1.0,0.13625,0.1782729648600707,0.0
donut,lora,subject,machine_learning,36,20,0.5555555555555556,-0.03571428571428581,-0.11764705882352944,-0.16731517509727634,0.475,0.6020797289396148,-0.275,-0.04555820475782048,-0.11559974388337285,0.25,0.95,0.19,0.2408318915758459,0.0
donut,lora,subject,networking,45,17,0.37777777777777777,0.3564356435643564,0.2582897033158813,0.15000000000000002,0.7352941176470589,0.9776923610938036,0.2647058823529412,0.46097722286464426,0.4704851488661929,0.35294117647058826,0.8823529411764706,0.4632352941176471,0.633762109757838,0.0
donut,lora,subject,other,40,14,0.35,0.011080332409972304,-2.220446049250313e-16,0.010869565217391242,1.7857142857142858,1.9086270308410553,-1.7857142857142858,0.09556369651349922,0.15967259625664634,0.07142857142857142,0.21428571428571427,0.44642857142857145,0.47715675771026383,0.0
donut,lora,subject,programming,20,9,0.45,0.0,0.0,0.0,1.7777777777777777,1.8257418583505538,0.0,,,0.0,0.2222222222222222,0.4444444444444444,0.45643546458763845,0.0
donut,lora,criterion_scale_grp,large_scale,151,83,0.5496688741721855,-0.09620136160833326,-0.06981190255935843,-0.042568039078855646,1.2590361445783131,1.4959785450429814,-0.13855421686746988,-0.14992333721269957,-0.1318396222928898,0.13253012048192772,0.5542168674698795,0.33182730923694786,0.3930825471690252,0.0
donut,lora,criterion_scale_grp,small_scale,140,69,0.4928571428571429,0.3740431502757672,0.25827862347593966,0.11744186046511618,0.5398550724637681,0.7690809497357068,0.12681159420289856,0.4286655155175459,0.4436986877857866,0.36231884057971014,0.927536231884058,0.2902173913043478,0.4379319813508202,0.0
donut,lora,criterion_type,application,74,38,0.5135135135135135,0.10289389067524124,0.0995800839832035,0.13003663003663013,1.0394736842105263,1.3548159711892511,0.3815789473684211,0.16479688189902267,0.11115068608996993,0.34210526315789475,0.6052631578947368,0.3651315789473684,0.4929603112026896,0.0
donut,lora,criterion_type,definition_theory,126,83,0.6587301587301587,-0.04367674933924226,-0.030333768052939414,-0.06096361848574228,0.7740963855421686,1.0315066767095527,0.009036144578313253,-0.05041996800462273,0.01044112792908666,0.21686746987951808,0.8313253012048193,0.2526104417670683,0.32948582717303376,0.0
donut,lora,criterion_type,numerical,48,16,0.3333333333333333,-0.10311750599520386,-0.0717703349282297,-0.034482758620689724,1.75,1.8957188610128877,-1.375,-0.39044148649165705,-0.4070457892053471,0.0625,0.25,0.453125,0.4943254382376947,0.0
donut,lora,criterion_type,structure_clarity,34,10,0.29411764705882354,0.604810996563574,0.3298969072164949,0.024390243902438935,0.65,0.758287544405155,0.65,0.8942424492462154,0.9073928715621604,0.2,1.0,0.45999999999999996,0.5979130371550699,0.0
donut,zero_shot,handwriting_density_grp,high,102,0,0.0,,,,,,,,,,,,,
donut,zero_shot,handwriting_density_grp,low,96,0,0.0,,,,,,,,,,,,,
donut,zero_shot,handwriting_density_grp,mid,93,0,0.0,,,,,,,,,,,,,
donut,zero_shot,answer_length_grp,high,99,0,0.0,,,,,,,,,,,,,
donut,zero_shot,answer_length_grp,low,97,0,0.0,,,,,,,,,,,,,
donut,zero_shot,answer_length_grp,mid,95,0,0.0,,,,,,,,,,,,,
donut,zero_shot,subject,data_mining,32,0,0.0,,,,,,,,,,,,,
donut,zero_shot,subject,databases,64,0,0.0,,,,,,,,,,,,,
donut,zero_shot,subject,environment,18,0,0.0,,,,,,,,,,,,,
donut,zero_shot,subject,image_processing,28,0,0.0,,,,,,,,,,,,,
donut,zero_shot,subject,machine_learning,36,0,0.0,,,,,,,,,,,,,
