example_id,criterion_name,mask_fraction,score_full,score_del_top,score_del_random,comprehensiveness,random_effect,faithful
169_c1,Explanation of normal forms(3),0.1,2.0,2.0,2.0,0.0,0.0,False
169_c1,Explanation of normal forms(3),0.2,2.0,1.0,2.0,1.0,0.0,True
169_c1,Explanation of normal forms(3),0.3,2.0,1.0,2.0,1.0,0.0,True
169_c1,Explanation of normal forms(3),0.5,2.0,2.0,2.0,0.0,0.0,False
368_c0,Understanding of Concept,0.1,3.0,3.0,3.0,0.0,0.0,False
368_c0,Understanding of Concept,0.2,3.0,3.0,3.0,0.0,0.0,False
368_c0,Understanding of Concept,0.3,3.0,3.0,4.0,0.0,1.0,False
368_c0,Understanding of Concept,0.5,3.0,3.0,3.0,0.0,0.0,False
400_c2,Accuracy of Final Answer,0.1,3.0,3.0,3.0,0.0,0.0,False
400_c2,Accuracy of Final Answer,0.2,3.0,3.0,3.0,0.0,0.0,False
400_c2,Accuracy of Final Answer,0.3,3.0,3.0,3.0,0.0,0.0,False
400_c2,Accuracy of Final Answer,0.5,3.0,3.0,3.0,0.0,0.0,False
259_c4,Clarity & Organization (1 Mark),0.1,1.0,1.0,1.0,0.0,0.0,False
259_c4,Clarity & Organization (1 Mark),0.2,1.0,0.0,1.0,1.0,0.0,True
259_c4,Clarity & Organization (1 Mark),0.3,1.0,0.0,1.0,1.0,0.0,True
259_c4,Clarity & Organization (1 Mark),0.5,1.0,0.0,1.0,1.0,0.0,True
337_c0,Understanding of Concept,0.1,4.0,4.0,4.0,0.0,0.0,False
337_c0,Understanding of Concept,0.2,4.0,4.0,4.0,0.0,0.0,False
337_c0,Understanding of Concept,0.3,4.0,4.0,4.0,0.0,0.0,False
337_c0,Understanding of Concept,0.5,4.0,4.0,3.0,0.0,1.0,False
337_c2,Accuracy of Final Answer,0.1,3.0,3.0,3.0,0.0,0.0,False
337_c2,Accuracy of Final Answer,0.2,3.0,3.0,3.0,0.0,0.0,False
337_c2,Accuracy of Final Answer,0.3,3.0,3.0,3.0,0.0,0.0,False
337_c2,Accuracy of Final Answer,0.5,3.0,3.0,3.0,0.0,0.0,False
37_c0,Definition of Quantization,0.1,2.5,2.5,2.5,0.0,0.0,False
37_c0,Definition of Quantization,0.2,2.5,2.5,2.5,0.0,0.0,False
37_c0,Definition of Quantization,0.3,2.5,2.5,2.5,0.0,0.0,False
37_c0,Definition of Quantization,0.5,2.5,2.5,2.5,0.0,0.0,False
392_c3,Clarity & Presentation,0.1,4.0,3.0,3.0,1.0,1.0,False
392_c3,Clarity & Presentation,0.2,4.0,3.0,3.0,1.0,1.0,False
392_c3,Clarity & Presentation,0.3,4.0,3.0,3.0,1.0,1.0,False
392_c3,Clarity & Presentation,0.5,4.0,3.0,3.0,1.0,1.0,False
420_c3,"Example, Overall Clarity & Structure",0.1,2.5,1.5,2.0,1.0,0.5,True
420_c3,"Example, Overall Clarity & Structure",0.2,2.5,1.5,2.5,1.0,0.0,True
420_c3,"Example, Overall Clarity & Structure",0.3,2.5,1.5,1.5,1.0,1.0,False
420_c3,"Example, Overall Clarity & Structure",0.5,2.5,1.5,1.5,1.0,1.0,False
309_def,Definition of Data Mining,0.1,0.0,0.0,0.0,0.0,0.0,False
309_def,Definition of Data Mining,0.2,0.0,1.0,0.0,1.0,0.0,True
309_def,Definition of Data Mining,0.3,0.0,3.0,0.0,3.0,0.0,True
309_def,Definition of Data Mining,0.5,0.0,3.0,2.0,3.0,2.0,True
470_c0,Definition of Method Overloading,0.1,3.0,3.0,3.0,0.0,0.0,False
470_c0,Definition of Method Overloading,0.2,3.0,3.0,3.0,0.0,0.0,False
470_c0,Definition of Method Overloading,0.3,3.0,3.0,3.0,0.0,0.0,False
470_c0,Definition of Method Overloading,0.5,3.0,3.0,4.0,0.0,1.0,False
37_c3,Boundary & Centroid Conditions,0.1,2.5,2.5,2.5,0.0,0.0,False
37_c3,Boundary & Centroid Conditions,0.2,2.5,2.5,2.5,0.0,0.0,False
37_c3,Boundary & Centroid Conditions,0.3,2.5,2.5,2.5,0.0,0.0,False
37_c3,Boundary & Centroid Conditions,0.5,2.5,2.5,2.5,0.0,0.0,False
298_ex,Example / Application,0.1,4.0,0.0,0.0,4.0,4.0,False
298_ex,Example / Application,0.2,4.0,0.0,0.0,4.0,4.0,False
298_ex,Example / Application,0.3,4.0,0.0,0.0,4.0,4.0,False
