criterion,n_total,n_valid,parse_rate,qwk,linear_kappa,cohen_kappa,mae,rmse,bias,pearson,spearman,exact_match,adjacent_match,mae_normalized,rmse_normalized,over_max_rate
Concept of Histogram Equalization,4,4,1.0,0.47887323943661975,0.15384615384615385,-0.23076923076923084,0.6875,0.7603453162872774,0.4375,0.6673083711820306,0.632455532033676,0.0,1.0,0.171875,0.19008632907181935,0.0
Necessity of Histogram Equalization,4,4,1.0,0.06703910614525144,0.0,0.0,1.5625,1.6153559979150107,1.5625,0.5773502691896256,0.5773502691896257,0.0,0.0,0.390625,0.4038389994787527,0.0
Concept of Histogram Matching,4,4,1.0,0.4347826086956522,0.18518518518518523,0.0,0.6875,0.7806247497997998,0.3125,0.5222329678670934,0.316227766016838,0.0,0.75,0.171875,0.19515618744994995,0.0
Necessity of Histogram Matching,4,4,1.0,0.11976047904191611,0.0,-0.1428571428571428,1.4375,1.5155444566227676,1.4375,0.5773502691896257,0.5773502691896257,0.0,0.25,0.359375,0.3788861141556919,0.0
Defintion of climate and weather,6,6,1.0,0.0,0.0,0.0,1.0,1.0307764064044151,-1.0,,,0.0,0.8333333333333334,0.5,0.5153882032022076,0.0
Name of the climate variables,6,6,1.0,-0.03587443946188329,-0.016129032258064502,0.0,0.875,0.8955910525085282,-0.4583333333333333,-0.19999999999999998,-0.20000000000000007,0.0,0.8333333333333334,0.4375,0.4477955262542641,0.0
Hemato-biochemical changes in rohu due to an increase of temparature,6,6,1.0,-0.02739726027397249,1.1102230246251565e-16,0.032258064516129115,0.4583333333333333,0.5103103630798288,-0.4583333333333333,-0.2,-0.20000000000000007,0.16666666666666666,1.0,0.22916666666666666,0.2551551815399144,0.0
Importance of R² and Variability (eg. 0.85 or 85%) explained by the model,2,2,1.0,0.0,0.0,0.0,1.375,1.3806701271484076,-1.375,,,0.0,0.0,0.4583333333333333,0.4602233757161358,0.0
"Mathematical Expression & Interpretation and Evaluate model performance by               R² ≈ 1 → very good fit 
R² ≈ 0 → poor fit 
R²<0 → model is worse than just using the mean",2,2,1.0,,,,0.5,0.5,0.5,,,0.0,1.0,0.16666666666666666,0.16666666666666666,0.0
Critical Insight (Limitations / Adjusted R²) and higher R² strengthens confidence,2,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9999999999999999,1.0,1.0,0.0,0.0,0.0
Enables comparison between models and overfitting issues,2,2,1.0,0.0,0.0,0.0,0.375,0.39528470752104744,-0.125,,,0.0,1.0,0.125,0.13176156917368248,0.0
Understanding of normalization and related problems(3),10,10,1.0,0.10212765957446812,0.0,-0.04166666666666674,1.55,1.6240381768911716,-1.55,0.6454972243679028,0.6145365967606566,0.0,0.2,0.5166666666666666,0.5413460589637238,0.0
Explanation of normal forms(3),10,10,1.0,0.06101048617731175,0.010600706713780883,0.0,1.4,1.5692354826475214,-1.4,0.4470390049816902,0.47338106833115084,0.0,0.3,0.4666666666666667,0.5230784942158405,0.0
Use of example(2),10,10,1.0,0.02006688963210701,0.004065040650406471,0.0,1.225,1.3532368602724358,-1.075,0.07894190171963547,-0.1369590298728748,0.0,0.4,0.6125,0.6766184301362179,0.0
Clear and organized writing(2),10,10,1.0,0.053676865271068186,0.05142857142857138,-0.04166666666666674,0.8299999952316284,0.9388823076415032,-0.7799999952316284,0.156786814264237,-0.04348853820356281,0.0,0.5,0.4149999976158142,0.4694411538207516,0.0
Understanding of schema and instance (2),6,6,1.0,0.13559322033898302,0.0,-0.12499999999999978,0.75,0.8416254115301732,-0.75,0.6324555320336759,0.632455532033676,0.0,0.8333333333333334,0.375,0.4208127057650866,0.0
Explanation of different types of keys with examples (4),6,6,1.0,0.07692307692307676,0.0,-0.07142857142857162,0.6666666666666666,0.816496580927726,-0.6666666666666666,0.24999999999999992,0.25000000000000006,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.2041241452319315,0.0
Correct identification of keys in given relation (2),6,6,1.0,0.11560693641618491,0.09302325581395332,0.11111111111111116,0.5416666666666666,0.7288689868556626,0.125,0.15041420939904676,0.01666666666666667,0.3333333333333333,0.8333333333333334,0.2708333333333333,0.3644344934278313,0.0
Clear and organized writing (2),6,6,1.0,0.256,0.05714285714285705,-0.07142857142857162,0.4583333333333333,0.568257570707744,-0.375,0.44172610429938614,0.4264014327112209,0.16666666666666666,1.0,0.22916666666666666,0.284128785353872,0.0
Identification of Layers (2 Marks),9,9,1.0,0.0,0.0,0.0,0.3611111111111111,0.5335936864527374,-0.3611111111111111,,,0.4444444444444444,1.0,0.18055555555555555,0.2667968432263687,0.0
Explanation of Layers with diagram (4 Marks),9,9,1.0,0.5544554455445545,0.39097744360902253,0.18181818181818177,0.5,0.6454972243679028,-0.3888888888888889,0.9271726499455308,0.9211323729436766,0.2222222222222222,0.8888888888888888,0.125,0.1613743060919757,0.0
Technical Accuracy (2 Marks),9,9,1.0,0.31018935978358886,0.11764705882352933,-0.051948051948051965,0.6944444444444444,0.768295371441074,-0.3055555555555556,0.38466524349342585,0.44986770542121873,0.0,0.8888888888888888,0.3472222222222222,0.384147685720537,0.0
