criterion,n_total,n_valid,parse_rate,qwk,linear_kappa,cohen_kappa,mae,rmse,bias,pearson,spearman,exact_match,adjacent_match,mae_normalized,rmse_normalized,over_max_rate
Concept of Histogram Equalization,4,4,1.0,0.41666666666666663,0.16666666666666663,-0.06666666666666665,0.625,0.6614378277661477,0.125,0.870388279778489,0.8164965809277261,0.0,1.0,0.15625,0.16535945694153692,0.0
Necessity of Histogram Equalization,4,4,1.0,0.0,0.0,0.0,0.5,0.7071067811865476,0.5,,,0.5,1.0,0.125,0.1767766952966369,0.0
Concept of Histogram Matching,4,4,1.0,0.41666666666666663,0.16666666666666663,-0.06666666666666665,0.625,0.6614378277661477,0.125,0.870388279778489,0.8164965809277261,0.0,1.0,0.15625,0.16535945694153692,0.0
Necessity of Histogram Matching,4,4,1.0,0.2857142857142857,0.25,0.19999999999999996,0.375,0.5590169943749475,0.375,0.5773502691896256,0.5773502691896257,0.5,1.0,0.09375,0.13975424859373686,0.0
Defintion of climate and weather,6,6,1.0,,,,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0
Name of the climate variables,6,6,1.0,0.0,0.0,0.0,0.3333333333333333,0.816496580927726,0.3333333333333333,,,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.408248290463863,0.0
Hemato-biochemical changes in rohu due to an increase of temparature,6,6,1.0,0.0,0.0,0.0,0.08333333333333333,0.2041241452319315,0.08333333333333333,,,0.8333333333333334,1.0,0.041666666666666664,0.10206207261596575,0.0
Importance of R² and Variability (eg. 0.85 or 85%) explained by the model,2,2,1.0,0.0,0.0,0.0,0.75,0.7905694150420949,-0.75,,,0.0,1.0,0.24999999999999997,0.2635231383473649,0.0
"Mathematical Expression & Interpretation and Evaluate model performance by               R² ≈ 1 → very good fit 
R² ≈ 0 → poor fit 
R²<0 → model is worse than just using the mean",2,2,1.0,,,,0.25,0.25,0.25,,,0.0,1.0,0.08333333333333333,0.08333333333333333,0.0
Critical Insight (Limitations / Adjusted R²) and higher R² strengthens confidence,2,2,1.0,0.0,0.0,0.0,0.25,0.3535533905932738,0.25,,,0.5,1.0,0.08333333333333333,0.11785113019775792,0.0
Enables comparison between models and overfitting issues,2,2,1.0,0.0,0.0,0.0,0.125,0.1767766952966369,0.125,,,0.5,1.0,0.04166666666666667,0.05892556509887897,0.0
Understanding of normalization and related problems(3),10,10,1.0,0.6122448979591837,0.34782608695652173,-0.020408163265306145,0.45,0.48733971724044817,-0.25,0.7654655446197431,0.8056094727078102,0.0,1.0,0.15,0.16244657241348273,0.0
Explanation of normal forms(3),10,10,1.0,0.8426812585499316,0.6451612903225806,0.25531914893617014,0.275,0.3791437722025775,-0.125,0.918343889536382,0.9424819839382049,0.3,1.0,0.09166666666666666,0.12638125740085918,0.0
Use of example(2),10,10,1.0,0.4948755490483162,0.2721518987341772,0.021739130434782483,0.575,0.6566962768281849,-0.225,0.6299964608155105,0.6884124833031147,0.1,0.9,0.2875,0.32834813841409244,0.0
Clear and organized writing(2),10,10,1.0,0.45633802816901403,0.23333333333333328,0.032258064516129115,0.22999999523162842,0.3106444867352023,0.12000000476837158,0.6632218632100646,0.510527470242631,0.4,1.0,0.11499999761581421,0.15532224336760114,0.0
Understanding of schema and instance (2),6,6,1.0,0.18181818181818177,0.14285714285714268,0.09999999999999987,0.3333333333333333,0.5,-0.16666666666666666,0.24999999999999994,0.25000000000000006,0.5,1.0,0.16666666666666666,0.25,0.0
Explanation of different types of keys with examples (4),6,6,1.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896257,-0.3333333333333333,,,0.6666666666666666,1.0,0.08333333333333333,0.14433756729740643,0.0
Correct identification of keys in given relation (2),6,6,1.0,0.3999999999999999,0.18181818181818177,0.0,0.5,0.5773502691896257,0.16666666666666666,0.6859943405700352,0.6708203932499369,0.16666666666666666,1.0,0.25,0.28867513459481287,0.0
Clear and organized writing (2),6,6,1.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896257,-0.3333333333333333,,,0.6666666666666666,1.0,0.16666666666666666,0.28867513459481287,0.0
Identification of Layers (2 Marks),9,9,1.0,,,,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0
Explanation of Layers with diagram (4 Marks),9,9,1.0,0.32432432432432434,0.1333333333333333,-0.016129032258064502,0.7222222222222222,0.8333333333333334,-0.5,0.6123724356957945,0.6030226891555273,0.2222222222222222,1.0,0.18055555555555555,0.20833333333333334,0.0
Technical Accuracy (2 Marks),9,9,1.0,0.4457478005865103,0.37209302325581395,0.18181818181818177,0.5833333333333334,0.8539125638299665,-0.25,0.47217539616447934,0.38903901006370994,0.3333333333333333,0.8888888888888888,0.2916666666666667,0.42695628191498325,0.0
Examples/Protocols(1 Mark),9,9,1.0,0.8571428571428572,0.75,0.6,0.1111111111111111,0.23570226039551584,0.0,0.8660254037844387,0.8586296628693791,0.7777777777777778,1.0,0.1111111111111111,0.23570226039551584,0.0
Clarity & Organization (1 Mark),9,9,1.0,0.8571428571428572,0.75,0.6,0.1111111111111111,0.23570226039551584,0.0,0.8660254037844384,0.8586296628693791,0.7777777777777778,1.0,0.1111111111111111,0.23570226039551584,0.0
Definition of Quantization,3,3,1.0,0.0,0.0,0.0,0.16666666666666666,0.28867513459481287,0.16666666666666666,,,0.6666666666666666,1.0,0.06666666666666665,0.11547005383792512,0.0
Purpose of Quantization,3,3,1.0,,,,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,0.0
Max-Lloyd Algorithm Explanation,3,3,1.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896257,0.3333333333333333,,,0.6666666666666666,1.0,0.13333333333333333,0.23094010767585033,0.0
Boundary & Centroid Conditions,3,3,1.0,0.0,0.0,0.0,0.6666666666666666,0.816496580927726,0.6666666666666666,,,0.3333333333333333,1.0,0.26666666666666666,0.32659863237109044,0.0
Importance of Data Mining Marks=(4),8,8,1.0,0.6772908366533865,0.45833333333333337,0.11111111111111116,0.8125,1.125,0.25,0.6979415720330409,0.538638634844706,0.25,0.75,0.203125,0.28125,0.0
Definition of Data Mining,8,8,1.0,0.8088235294117647,0.5942028985507246,0.2727272727272727,0.4375,0.6373774391990981,-0.1875,0.8268106308031116,0.7833891945495459,0.375,0.875,0.109375,0.15934435979977452,0.0
Example / Application,13,13,1.0,0.7023136858383394,0.6323907455012854,0.4693877551020408,0.6346153846153846,1.3605004735249226,0.057692307692307696,0.706010978931749,0.7530198221680942,0.6923076923076923,0.8461538461538461,0.15865384615384615,0.34012511838123066,0.0
KDD Process Steps,8,8,1.0,0.8417366946778712,0.7030567685589519,0.5,0.53125,0.9395810236483068,0.28125,0.8538577270926107,0.8945302703857816,0.625,0.875,0.1328125,0.2348952559120767,0.0
Understanding of Concept,10,10,1.0,0.3529411764705882,0.30000000000000004,0.23076923076923073,0.35,0.5244044240850758,0.35,0.6546536707079771,0.6546536707079771,0.5,1.0,0.0875,0.13110110602126895,0.0
Step-by-Step Procedure,10,10,1.0,0.15094339622641506,0.13793103448275867,0.11764705882352944,0.5,0.6708203932499369,0.5,0.4082482904638631,0.408248290463863,0.4,1.0,0.125,0.16770509831248423,0.0
Accuracy of Final Answer,10,10,1.0,0.0,0.0,0.0,0.4,0.6324555320336759,0.0,,,0.6,1.0,0.1,0.15811388300841897,0.0
Clarity & Presentation,10,10,1.0,0.19753086419753085,0.16666666666666663,0.13043478260869557,0.35,0.570087712549569,-0.15,0.4444444444444445,0.46481112585226414,0.6,1.0,0.0875,0.14252192813739226,0.0
Supervised Learning,9,9,1.0,0.0,0.0,0.0,0.16666666666666666,0.28867513459481287,0.16666666666666666,,,0.6666666666666666,1.0,0.06666666666666665,0.11547005383792512,0.0
Unsupervised Learning,9,9,1.0,0.0,0.0,0.0,0.16666666666666666,0.28867513459481287,0.16666666666666666,,,0.6666666666666666,1.0,0.06666666666666665,0.11547005383792512,0.0
Reinforcement Learning,9,9,1.0,0.8457142857142856,0.5524861878453038,0.12195121951219512,0.25,0.3818813079129867,0.25,0.9540646527893838,0.6123724356957946,0.5555555555555556,1.0,0.09999999999999999,0.15275252316519464,0.0
"Example, Overall Clarity & Structure",9,9,1.0,0.059701492537313494,-0.05319148936170226,-0.10769230769230775,0.6111111111111112,0.6972166887783963,0.3333333333333333,0.08294258047937,0.039823008849557515,0.1111111111111111,1.0,0.24444444444444446,0.27888667551135854,0.0
Definition of Method Overloading,5,5,1.0,0.161849710982659,0.0,-0.19047619047619047,2.2,2.4083189157584592,2.2,0.8427009716003844,0.9128709291752769,0.0,0.4,0.55,0.6020797289396148,0.0
Definition of Method Overriding,5,5,1.0,0.0,0.0,0.0,3.0,3.1937438845342623,3.0,0.0,0.0,0.0,0.2,0.75,0.7984359711335656,0.0
Comparision,5,5,1.0,0.1407624633431085,0.12698412698412698,0.0,1.65,1.9137659209004638,-1.15,0.2635231383473649,0.0,0.0,0.2,0.4125,0.47844148022511596,0.0
